componente,unidade,Valor por 100g,Copo americano duplo (240 ml),Copo americano pequeno (165 ml),codigo_alimento,nome_alimento
Energia,kJ,325,778,535,BRC0032U,Nome não encontrado
Energia,kcal,77,184,126,BRC0032U,Nome não encontrado
Umidade,g,"80,9",194,133,BRC0032U,Nome não encontrado
Carboidrato total,g,"15,5","37,2","25,6",BRC0032U,Nome não encontrado
Carboidrato disponível,g,"15,3","36,8","25,3",BRC0032U,Nome não encontrado
Proteína,g,"1,18","2,82","1,94",BRC0032U,Nome não encontrado
Lipídios,g,"1,16","2,78","1,91",BRC0032U,Nome não encontrado
Fibra alimentar,g,"0,17","0,40","0,28",BRC0032U,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0032U,Nome não encontrado
Cinzas,g,"0,95","2,27","1,56",BRC0032U,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0032U,Nome não encontrado
Ácidos graxos saturados,g,"0,27","0,66","0,45",BRC0032U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,61","1,47","1,01",BRC0032U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,21","0,51","0,35",BRC0032U,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0032U,Nome não encontrado
Cálcio,mg,170,408,281,BRC0032U,Nome não encontrado
Ferro,mg,"1,78","4,27","2,94",BRC0032U,Nome não encontrado
Sódio,mg,"63,4",152,104,BRC0032U,Nome não encontrado
Magnésio,mg,"57,6",138,"95,1",BRC0032U,Nome não encontrado
Fósforo,mg,"83,3",199,137,BRC0032U,Nome não encontrado
Potássio,mg,222,534,367,BRC0032U,Nome não encontrado
Manganês,mg,"0,16","0,37","0,26",BRC0032U,Nome não encontrado
Zinco,mg,"0,76","1,81","1,25",BRC0032U,Nome não encontrado
Cobre,mg,"0,02","0,05","0,03",BRC0032U,Nome não encontrado
Selênio,mcg,"0,08","0,20","0,14",BRC0032U,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0032U,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0032U,Nome não encontrado
Vitamina D,mcg,"1,66","3,98","2,74",BRC0032U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"5,32","12,8","8,78",BRC0032U,Nome não encontrado
Tiamina,mg,"0,01","0,02","0,01",BRC0032U,Nome não encontrado
Riboflavina,mg,"0,04","0,08","0,06",BRC0032U,Nome não encontrado
Niacina,mg,"0,28","0,68","0,47",BRC0032U,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02",BRC0032U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0032U,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0032U,Nome não encontrado
Equivalente de folato,mcg,"4,11","9,86","6,78",BRC0032U,Nome não encontrado
Sal de adição,g,"6,00","14,4","9,90",BRC0032U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0032U,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0032U,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0032U,Nome não encontrado
Proteína animal,g,-,-,-,BRC0032U,Nome não encontrado
