componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,26,51,BRC0060H,Nome não encontrado
Energia,kcal,6,12,BRC0060H,Nome não encontrado
Umidade,g,"98,3",196,BRC0060H,Nome não encontrado
Carboidrato total,g,"1,01","2,02",BRC0060H,Nome não encontrado
Carboidrato disponível,g,"1,01","2,02",BRC0060H,Nome não encontrado
Proteína,g,"0,40","0,81",BRC0060H,Nome não encontrado
Lipídios,g,"0,04","0,08",BRC0060H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0060H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0060H,Nome não encontrado
Cinzas,g,"0,22","0,44",BRC0060H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0060H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,01",BRC0060H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,06",BRC0060H,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,,BRC0060H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0060H,Nome não encontrado
Cálcio,mg,"1,90","3,79",BRC0060H,Nome não encontrado
Ferro,mg,traços,,BRC0060H,Nome não encontrado
Sódio,mg,"0,62","1,23",BRC0060H,Nome não encontrado
Magnésio,mg,"5,80","11,6",BRC0060H,Nome não encontrado
Fósforo,mg,"5,70","11,4",BRC0060H,Nome não encontrado
Potássio,mg,"93,4",186,BRC0060H,Nome não encontrado
Manganês,mg,"0,02","0,05",BRC0060H,Nome não encontrado
Zinco,mg,traços,,BRC0060H,Nome não encontrado
Cobre,mg,"0,00","0,01",BRC0060H,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0060H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0060H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0060H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0060H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,04",BRC0060H,Nome não encontrado
Tiamina,mg,"0,01","0,02",BRC0060H,Nome não encontrado
Riboflavina,mg,"0,05","0,09",BRC0060H,Nome não encontrado
Niacina,mg,"0,12","0,23",BRC0060H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0060H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0060H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0060H,Nome não encontrado
Equivalente de folato,mcg,"1,20","2,40",BRC0060H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0060H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0060H,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0060H,Nome não encontrado
Proteína vegetal,g,"0,40","0,81",BRC0060H,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0060H,Nome não encontrado
