componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,273,54,355,BRC0501F,Nome não encontrado
Energia,kcal,65,12,84,BRC0501F,Nome não encontrado
Umidade,g,"84,5","16,9",109,BRC0501F,Nome não encontrado
Carboidrato total,g,"5,58","1,12","7,26",BRC0501F,Nome não encontrado
Carboidrato disponível,g,"4,71","0,94","6,12",BRC0501F,Nome não encontrado
Proteína,g,"7,52","1,50","9,77",BRC0501F,Nome não encontrado
Lipídios,g,"1,58","0,32","2,05",BRC0501F,Nome não encontrado
Fibra alimentar,g,"0,87","0,17","1,14",BRC0501F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0501F,Nome não encontrado
Cinzas,g,"0,89","0,18","1,16",BRC0501F,Nome não encontrado
Colesterol,mg,"19,3","3,86","25,1",BRC0501F,Nome não encontrado
Ácidos graxos saturados,g,"0,38","0,08","0,49",BRC0501F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,44","0,09","0,57",BRC0501F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,62","0,12","0,81",BRC0501F,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,00","0,02",BRC0501F,Nome não encontrado
Cálcio,mg,"7,78","1,56","10,1",BRC0501F,Nome não encontrado
Ferro,mg,"0,20","0,04","0,25",BRC0501F,Nome não encontrado
Sódio,mg,"9,22","1,84","12,0",BRC0501F,Nome não encontrado
Magnésio,mg,"6,65","1,33","8,65",BRC0501F,Nome não encontrado
Fósforo,mg,"62,3","12,5","81,0",BRC0501F,Nome não encontrado
Potássio,mg,122,"24,4",158,BRC0501F,Nome não encontrado
Manganês,mg,"0,07","0,01","0,09",BRC0501F,Nome não encontrado
Zinco,mg,"0,31","0,06","0,41",BRC0501F,Nome não encontrado
Cobre,mg,"0,03","0,01","0,04",BRC0501F,Nome não encontrado
Selênio,mcg,"2,88","0,58","3,75",BRC0501F,Nome não encontrado
Vitamina A (RE),mcg,156,"31,3",203,BRC0501F,Nome não encontrado
Vitamina A (RAE),mcg,"78,6","15,7",102,BRC0501F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0501F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,16","0,23","1,50",BRC0501F,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0501F,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0501F,Nome não encontrado
Niacina,mg,"1,96","0,39","2,55",BRC0501F,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,03",BRC0501F,Nome não encontrado
Vitamina B12,mcg,"0,03","0,01","0,04",BRC0501F,Nome não encontrado
Vitamina C,mg,"1,82","0,36","2,37",BRC0501F,Nome não encontrado
Equivalente de folato,mcg,"12,6","2,52","16,4",BRC0501F,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0501F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0501F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0501F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0501F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0501F,Nome não encontrado
