componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1321,52,13,BRC0831B,Nome não encontrado
Energia,kcal,319,12,3,BRC0831B,Nome não encontrado
Umidade,g,"11,2","0,45","0,11",BRC0831B,Nome não encontrado
Carboidrato total,g,"54,0","2,16","0,54",BRC0831B,Nome não encontrado
Carboidrato disponível,g,"19,1","0,76","0,19",BRC0831B,Nome não encontrado
Proteína,g,"14,1","0,57","0,14",BRC0831B,Nome não encontrado
Lipídios,g,"12,9","0,52","0,13",BRC0831B,Nome não encontrado
Fibra alimentar,g,"34,9","1,40","0,35",BRC0831B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0831B,Nome não encontrado
Cinzas,g,"7,74","0,31","0,08",BRC0831B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0831B,Nome não encontrado
Ácidos graxos saturados,g,"2,14","0,09","0,02",BRC0831B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,70","0,07","0,02",BRC0831B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"7,77","0,31","0,08",BRC0831B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0831B,Nome não encontrado
Cálcio,mg,229,"9,16","2,29",BRC0831B,Nome não encontrado
Ferro,mg,"21,1","0,85","0,21",BRC0831B,Nome não encontrado
Sódio,mg,"68,0","2,72","0,68",BRC0831B,Nome não encontrado
Magnésio,mg,178,"7,12","1,78",BRC0831B,Nome não encontrado
Fósforo,mg,314,"12,6","3,14",BRC0831B,Nome não encontrado
Potássio,mg,2280,"91,2","22,8",BRC0831B,Nome não encontrado
Manganês,mg,"1,59","0,06","0,02",BRC0831B,Nome não encontrado
Zinco,mg,"4,33","0,17","0,04",BRC0831B,Nome não encontrado
Cobre,mg,"0,71","0,03","0,01",BRC0831B,Nome não encontrado
Selênio,mcg,"6,30","0,25","0,06",BRC0831B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0831B,Nome não encontrado
Vitamina A (RAE),mcg,2463,"98,5","24,6",BRC0831B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0831B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"29,1","1,16","0,29",BRC0831B,Nome não encontrado
Tiamina,mg,"0,33","0,01","0,00",BRC0831B,Nome não encontrado
Riboflavina,mg,"1,23","0,05","0,01",BRC0831B,Nome não encontrado
Niacina,mg,"10,1","0,40","0,10",BRC0831B,Nome não encontrado
Vitamina B6,mg,"2,14","0,09","0,02",BRC0831B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0831B,Nome não encontrado
Vitamina C,mg,"0,90","0,04","0,01",BRC0831B,Nome não encontrado
Equivalente de folato,mcg,"49,0","1,96","0,49",BRC0831B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0831B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0831B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0831B,Nome não encontrado
Proteína vegetal,g,"14,1","0,57","0,14",BRC0831B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0831B,Nome não encontrado
