componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,141,28,183,BRC0238T,Nome não encontrado
Energia,kcal,34,6,43,BRC0238T,Nome não encontrado
Umidade,g,"84,8","17,0",110,BRC0238T,Nome não encontrado
Carboidrato total,g,"10,6","2,12","13,8",BRC0238T,Nome não encontrado
Carboidrato disponível,g,"6,90","1,38","8,97",BRC0238T,Nome não encontrado
Proteína,g,"2,62","0,52","3,40",BRC0238T,Nome não encontrado
Lipídios,g,"1,08","0,22","1,40",BRC0238T,Nome não encontrado
Fibra alimentar,g,"3,71","0,74","4,82",BRC0238T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0238T,Nome não encontrado
Cinzas,g,"0,90","0,18","1,17",BRC0238T,Nome não encontrado
Colesterol,mg,"0,57","0,11","0,74",BRC0238T,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,04","0,25",BRC0238T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,24","0,05","0,31",BRC0238T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,60","0,12","0,77",BRC0238T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0238T,Nome não encontrado
Cálcio,mg,"18,5","3,71","24,1",BRC0238T,Nome não encontrado
Ferro,mg,"0,62","0,12","0,81",BRC0238T,Nome não encontrado
Sódio,mg,181,"36,4",236,BRC0238T,Nome não encontrado
Magnésio,mg,"18,5","3,69","24,0",BRC0238T,Nome não encontrado
Fósforo,mg,"45,6","9,12","59,3",BRC0238T,Nome não encontrado
Potássio,mg,158,"31,6",205,BRC0238T,Nome não encontrado
Manganês,mg,"0,19","0,04","0,25",BRC0238T,Nome não encontrado
Zinco,mg,"0,79","0,16","1,03",BRC0238T,Nome não encontrado
Cobre,mg,"0,22","0,04","0,29",BRC0238T,Nome não encontrado
Selênio,mcg,"1,21","0,24","1,57",BRC0238T,Nome não encontrado
Vitamina A (RE),mcg,"27,8","5,56","36,2",BRC0238T,Nome não encontrado
Vitamina A (RAE),mcg,"14,0","2,81","18,2",BRC0238T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0238T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,21","0,04","0,27",BRC0238T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0238T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0238T,Nome não encontrado
Niacina,mg,"0,15","0,03","0,19",BRC0238T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0238T,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00","0,01",BRC0238T,Nome não encontrado
Vitamina C,mg,"2,41","0,48","3,13",BRC0238T,Nome não encontrado
Equivalente de folato,mcg,"44,8","8,96","58,3",BRC0238T,Nome não encontrado
Sal de adição,g,"0,45","0,09","0,59",BRC0238T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0238T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0238T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0238T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0238T,Nome não encontrado
