componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,282,169,127,282,BRC0418E,Nome não encontrado
Energia,kcal,67,40,30,66,BRC0418E,Nome não encontrado
Umidade,g,"83,8","50,3","37,7","83,8",BRC0418E,Nome não encontrado
Carboidrato total,g,"0,87","0,52","0,39","0,87",BRC0418E,Nome não encontrado
Carboidrato disponível,g,"0,36","0,21","0,16","0,36",BRC0418E,Nome não encontrado
Proteína,g,"13,0","7,78","5,83","13,0",BRC0418E,Nome não encontrado
Lipídios,g,"1,40","0,84","0,63","1,40",BRC0418E,Nome não encontrado
Fibra alimentar,g,"0,51","0,31","0,23","0,51",BRC0418E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0418E,Nome não encontrado
Cinzas,g,"0,95","0,57","0,43","0,95",BRC0418E,Nome não encontrado
Colesterol,mg,"30,3","18,2","13,6","30,3",BRC0418E,Nome não encontrado
Ácidos graxos saturados,g,"0,26","0,15","0,12","0,26",BRC0418E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,24","0,14","0,11","0,24",BRC0418E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,72","0,43","0,32","0,72",BRC0418E,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0418E,Nome não encontrado
Cálcio,mg,"12,1","7,28","5,46","12,1",BRC0418E,Nome não encontrado
Ferro,mg,"0,20","0,12","0,09","0,20",BRC0418E,Nome não encontrado
Sódio,mg,156,"93,9","70,4",156,BRC0418E,Nome não encontrado
Magnésio,mg,"17,2","10,3","7,73","17,2",BRC0418E,Nome não encontrado
Fósforo,mg,"94,8","56,9","42,7","94,8",BRC0418E,Nome não encontrado
Potássio,mg,204,122,"92,0",204,BRC0418E,Nome não encontrado
Manganês,mg,"0,03","0,02","0,01","0,03",BRC0418E,Nome não encontrado
Zinco,mg,"0,43","0,26","0,19","0,43",BRC0418E,Nome não encontrado
Cobre,mg,"0,16","0,09","0,07","0,16",BRC0418E,Nome não encontrado
Selênio,mcg,"21,4","12,8","9,62","21,4",BRC0418E,Nome não encontrado
Vitamina A (RE),mcg,"27,3","16,4","12,3","27,3",BRC0418E,Nome não encontrado
Vitamina A (RAE),mcg,"13,7","8,20","6,15","13,7",BRC0418E,Nome não encontrado
Vitamina D,mcg,"0,33","0,20","0,15","0,33",BRC0418E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,19","0,14","0,31",BRC0418E,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02","0,06",BRC0418E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,01",BRC0418E,Nome não encontrado
Niacina,mg,"4,21","2,53","1,90","4,21",BRC0418E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0418E,Nome não encontrado
Vitamina B12,mcg,"1,37","0,82","0,62","1,37",BRC0418E,Nome não encontrado
Vitamina C,mg,"4,32","2,59","1,94","4,32",BRC0418E,Nome não encontrado
Equivalente de folato,mcg,"10,6","6,38","4,79","10,6",BRC0418E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0418E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0418E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0418E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0418E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0418E,Nome não encontrado
