componente,unidade,Valor por 100g,Colher sopa cheia (22 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,1341,295,187,BRC0005T,Nome não encontrado
Energia,kcal,318,70,44,BRC0005T,Nome não encontrado
Umidade,g,"10,2","2,24","1,42",BRC0005T,Nome não encontrado
Carboidrato total,g,"62,6","13,8","8,76",BRC0005T,Nome não encontrado
Carboidrato disponível,g,"43,9","9,66","6,15",BRC0005T,Nome não encontrado
Proteína,g,"21,6","4,76","3,03",BRC0005T,Nome não encontrado
Lipídios,g,"2,09","0,46","0,29",BRC0005T,Nome não encontrado
Fibra alimentar,g,"18,7","4,10","2,61",BRC0005T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0005T,Nome não encontrado
Cinzas,g,"3,53","0,78","0,49",BRC0005T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0005T,Nome não encontrado
Ácidos graxos saturados,g,"0,59","0,13","0,08",BRC0005T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,04","0,03",BRC0005T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,88","0,19","0,12",BRC0005T,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,BRC0005T,Nome não encontrado
Cálcio,mg,119,"26,3","16,8",BRC0005T,Nome não encontrado
Ferro,mg,"3,18","0,70","0,45",BRC0005T,Nome não encontrado
Sódio,mg,"1,64","0,36","0,23",BRC0005T,Nome não encontrado
Magnésio,mg,140,"30,9","19,7",BRC0005T,Nome não encontrado
Fósforo,mg,263,"58,0","36,9",BRC0005T,Nome não encontrado
Potássio,mg,1391,306,194,BRC0005T,Nome não encontrado
Manganês,mg,"0,51","0,11","0,07",BRC0005T,Nome não encontrado
Zinco,mg,"3,24","0,71","0,45",BRC0005T,Nome não encontrado
Cobre,mg,"1,05","0,23","0,15",BRC0005T,Nome não encontrado
Selênio,mcg,"11,9","2,62","1,67",BRC0005T,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0005T,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0005T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0005T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0005T,Nome não encontrado
Tiamina,mg,"1,08","0,24","0,15",BRC0005T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0005T,Nome não encontrado
Niacina,mg,"2,73","0,60","0,38",BRC0005T,Nome não encontrado
Vitamina B6,mg,"0,07","0,02","0,01",BRC0005T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0005T,Nome não encontrado
Vitamina C,mg,"1,49","0,33","0,21",BRC0005T,Nome não encontrado
Equivalente de folato,mcg,458,100,"64,1",BRC0005T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0005T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0005T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0005T,Nome não encontrado
Proteína vegetal,g,"21,6","4,76","3,03",BRC0005T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0005T,Nome não encontrado
