componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,484,242,532,435,968,BRC0891A,Nome não encontrado
Energia,kcal,114,57,125,102,228,BRC0891A,Nome não encontrado
Umidade,g,"71,1","35,5","78,2","64,0",142,BRC0891A,Nome não encontrado
Carboidrato total,g,"21,6","10,8","23,8","19,5","43,3",BRC0891A,Nome não encontrado
Carboidrato disponível,g,"21,6","10,8","23,8","19,5","43,3",BRC0891A,Nome não encontrado
Proteína,g,"4,91","2,46","5,40","4,42","9,82",BRC0891A,Nome não encontrado
Lipídios,g,"0,89","0,44","0,97","0,80","1,77",BRC0891A,Nome não encontrado
Fibra alimentar,g,"0,77","0,39","0,85","0,70","1,55",BRC0891A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0891A,Nome não encontrado
Cinzas,g,"0,71","0,35","0,78","0,64","1,42",BRC0891A,Nome não encontrado
Colesterol,mg,"6,90","3,45","7,59","6,21","13,8",BRC0891A,Nome não encontrado
Ácidos graxos saturados,g,"0,27","0,14","0,30","0,24","0,54",BRC0891A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,26","0,13","0,29","0,24","0,53",BRC0891A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,29","0,14","0,32","0,26","0,57",BRC0891A,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,,BRC0891A,Nome não encontrado
Cálcio,mg,"10,6","5,31","11,7","9,55","21,2",BRC0891A,Nome não encontrado
Ferro,mg,"1,38","0,69","1,52","1,25","2,77",BRC0891A,Nome não encontrado
Sódio,mg,196,"98,3",216,176,393,BRC0891A,Nome não encontrado
Magnésio,mg,"9,94","4,97","10,9","8,95","19,9",BRC0891A,Nome não encontrado
Fósforo,mg,"53,7","26,9","59,1","48,3",107,BRC0891A,Nome não encontrado
Potássio,mg,"83,2","41,6","91,5","74,9",166,BRC0891A,Nome não encontrado
Manganês,mg,"0,22","0,11","0,24","0,20","0,44",BRC0891A,Nome não encontrado
Zinco,mg,"0,75","0,37","0,82","0,67","1,50",BRC0891A,Nome não encontrado
Cobre,mg,"0,09","0,04","0,10","0,08","0,17",BRC0891A,Nome não encontrado
Selênio,mcg,,traços,,,,BRC0891A,Nome não encontrado
Vitamina A (RE),mcg,,traços,,,,BRC0891A,Nome não encontrado
Vitamina A (RAE),mcg,,traços,,,,BRC0891A,Nome não encontrado
Vitamina D,mcg,,traços,,,,BRC0891A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,traços,,,,BRC0891A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,04","0,03","0,07",BRC0891A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,,BRC0891A,Nome não encontrado
Niacina,mg,"1,43","0,72","1,57","1,29","2,86",BRC0891A,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00",BRC0891A,Nome não encontrado
Vitamina B12,mcg,"0,18","0,09","0,20","0,16","0,36",BRC0891A,Nome não encontrado
Vitamina C,mg,"0,75","0,37","0,82","0,67","1,49",BRC0891A,Nome não encontrado
Equivalente de folato,mcg,,traços,,,,BRC0891A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42","0,94",BRC0891A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0891A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0891A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0891A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0891A,Nome não encontrado
