componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),Colher sopa cheia (25 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,905,543,362,226,135,BRC0244F,Nome não encontrado
Energia,kcal,216,129,86,54,32,BRC0244F,Nome não encontrado
Umidade,g,"59,8","35,9","23,9","15,0","8,97",BRC0244F,Nome não encontrado
Carboidrato total,g,"0,72","0,43","0,29","0,18","0,11",BRC0244F,Nome não encontrado
Carboidrato disponível,g,"0,58","0,35","0,23","0,15","0,09",BRC0244F,Nome não encontrado
Proteína,g,"26,1","15,7","10,4","6,53","3,92",BRC0244F,Nome não encontrado
Lipídios,g,"12,2","7,32","4,88","3,05","1,83",BRC0244F,Nome não encontrado
Fibra alimentar,g,"0,13","0,08","0,05","0,03","0,02",BRC0244F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0244F,Nome não encontrado
Cinzas,g,"1,28","0,77","0,51","0,32","0,19",BRC0244F,Nome não encontrado
Colesterol,mg,"73,0","43,8","29,2","18,3","11,0",BRC0244F,Nome não encontrado
Ácidos graxos saturados,g,"4,37","2,62","1,75","1,09","0,66",BRC0244F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,24","2,54","1,70","1,06","0,64",BRC0244F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,20","1,92","1,28","0,80","0,48",BRC0244F,Nome não encontrado
Ácidos graxos trans,g,"0,22","0,13","0,09","0,06","0,03",BRC0244F,Nome não encontrado
Cálcio,mg,"5,64","3,38","2,26","1,41","0,85",BRC0244F,Nome não encontrado
Ferro,mg,"2,17","1,30","0,87","0,54","0,33",BRC0244F,Nome não encontrado
Sódio,mg,"64,5","38,7","25,8","16,1","9,68",BRC0244F,Nome não encontrado
Magnésio,mg,"18,8","11,3","7,52","4,70","2,82",BRC0244F,Nome não encontrado
Fósforo,mg,200,120,"80,0","50,0","30,0",BRC0244F,Nome não encontrado
Potássio,mg,321,192,128,"80,3","48,2",BRC0244F,Nome não encontrado
Manganês,mg,"0,01","0,01","0,00","0,00","0,00",BRC0244F,Nome não encontrado
Zinco,mg,"7,58","4,55","3,03","1,90","1,14",BRC0244F,Nome não encontrado
Cobre,mg,"0,10","0,06","0,04","0,03","0,02",BRC0244F,Nome não encontrado
Selênio,mcg,"0,02","0,01","0,01","0,01","0,00",BRC0244F,Nome não encontrado
Vitamina A (RE),mcg,"2,51","1,51","1,00","0,63","0,38",BRC0244F,Nome não encontrado
Vitamina A (RAE),mcg,"2,51","1,51","1,00","0,63","0,38",BRC0244F,Nome não encontrado
Vitamina D,mcg,"0,08","0,05","0,03","0,02","0,01",BRC0244F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,29","0,17","0,12","0,07","0,04",BRC0244F,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,traços,BRC0244F,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0244F,Nome não encontrado
Niacina,mg,"3,93","2,36","1,57","0,98","0,59",BRC0244F,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01","0,01","0,00",BRC0244F,Nome não encontrado
Vitamina B12,mcg,"3,31","1,99","1,32","0,83","0,50",BRC0244F,Nome não encontrado
Vitamina C,mg,"0,39","0,23","0,16","0,10","0,06",BRC0244F,Nome não encontrado
Equivalente de folato,mcg,"4,35","2,61","1,74","1,09","0,65",BRC0244F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0244F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0244F,Nome não encontrado
Gordura de adição,g,"5,00","3,00","2,00","1,25","0,75",BRC0244F,Nome não encontrado
Proteína vegetal,g,"0,15","0,09","0,06","0,04","0,02",BRC0244F,Nome não encontrado
Proteína animal,g,"25,4","15,2","10,2","6,35","3,81",BRC0244F,Nome não encontrado
