componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,390,194,97,428,350,BRC0945A,Nome não encontrado
Energia,kcal,93,46,23,101,83,BRC0945A,Nome não encontrado
Umidade,g,"78,4","39,2","19,6","86,3","70,6",BRC0945A,Nome não encontrado
Carboidrato total,g,"12,2","6,12","3,06","13,5","11,0",BRC0945A,Nome não encontrado
Carboidrato disponível,g,"10,9","5,46","2,73","12,0","9,83",BRC0945A,Nome não encontrado
Proteína,g,"5,44","2,72","1,36","5,98","4,90",BRC0945A,Nome não encontrado
Lipídios,g,"2,69","1,34","0,67","2,96","2,42",BRC0945A,Nome não encontrado
Fibra alimentar,g,"1,32","0,66","0,33","1,45","1,19",BRC0945A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0945A,Nome não encontrado
Cinzas,g,"1,17","0,58","0,29","1,28","1,05",BRC0945A,Nome não encontrado
Colesterol,mg,"61,4","30,7","15,3","67,5","55,3",BRC0945A,Nome não encontrado
Ácidos graxos saturados,g,"0,43","0,22","0,11","0,48","0,39",BRC0945A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,86","0,43","0,21","0,94","0,77",BRC0945A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,92","0,46","0,23","1,01","0,83",BRC0945A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,01","0,01",BRC0945A,Nome não encontrado
Cálcio,mg,"27,4","13,7","6,86","30,2","24,7",BRC0945A,Nome não encontrado
Ferro,mg,"0,72","0,36","0,18","0,79","0,65",BRC0945A,Nome não encontrado
Sódio,mg,281,140,"70,4",309,253,BRC0945A,Nome não encontrado
Magnésio,mg,"9,34","4,67","2,34","10,3","8,41",BRC0945A,Nome não encontrado
Fósforo,mg,"74,0","37,0","18,5","81,4","66,6",BRC0945A,Nome não encontrado
Potássio,mg,"91,1","45,6","22,8",100,"82,0",BRC0945A,Nome não encontrado
Manganês,mg,"0,05","0,03","0,01","0,06","0,05",BRC0945A,Nome não encontrado
Zinco,mg,"0,45","0,23","0,11","0,50","0,41",BRC0945A,Nome não encontrado
Cobre,mg,"0,10","0,05","0,02","0,11","0,09",BRC0945A,Nome não encontrado
Selênio,mcg,"11,4","5,70","2,85","12,5","10,3",BRC0945A,Nome não encontrado
Vitamina A (RE),mcg,"61,3","30,6","15,3","67,4","55,2",BRC0945A,Nome não encontrado
Vitamina A (RAE),mcg,"31,5","15,8","7,89","34,7","28,4",BRC0945A,Nome não encontrado
Vitamina D,mcg,"0,03","0,01","0,01","0,03","0,02",BRC0945A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,60","0,30","0,15","0,66","0,54",BRC0945A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,01","0,04","0,03",BRC0945A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01","0,02","0,02",BRC0945A,Nome não encontrado
Niacina,mg,"0,58","0,29","0,15","0,64","0,52",BRC0945A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01","0,03","0,03",BRC0945A,Nome não encontrado
Vitamina B12,mcg,"0,31","0,15","0,08","0,34","0,28",BRC0945A,Nome não encontrado
Vitamina C,mg,"9,51","4,76","2,38","10,5","8,56",BRC0945A,Nome não encontrado
Equivalente de folato,mcg,"13,2","6,60","3,30","14,5","11,9",BRC0945A,Nome não encontrado
Sal de adição,g,,traços,,,,BRC0945A,Nome não encontrado
Açúcar de adição,g,,traços,,,,BRC0945A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0945A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0945A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0945A,Nome não encontrado
