componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,401,240,180,401,BRC0420E,Nome não encontrado
Energia,kcal,95,56,42,94,BRC0420E,Nome não encontrado
Umidade,g,"76,8","46,1","34,5","76,8",BRC0420E,Nome não encontrado
Carboidrato total,g,"3,15","1,89","1,42","3,15",BRC0420E,Nome não encontrado
Carboidrato disponível,g,"2,63","1,58","1,18","2,63",BRC0420E,Nome não encontrado
Proteína,g,"17,0","10,2","7,67","17,0",BRC0420E,Nome não encontrado
Lipídios,g,"1,70","1,02","0,76","1,70",BRC0420E,Nome não encontrado
Fibra alimentar,g,"0,51","0,31","0,23","0,51",BRC0420E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0420E,Nome não encontrado
Cinzas,g,"1,35","0,81","0,61","1,35",BRC0420E,Nome não encontrado
Colesterol,mg,"29,6","17,8","13,3","29,6",BRC0420E,Nome não encontrado
Ácidos graxos saturados,g,"0,24","0,15","0,11","0,24",BRC0420E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,32","0,19","0,15","0,32",BRC0420E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,79","0,47","0,35","0,79",BRC0420E,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0420E,Nome não encontrado
Cálcio,mg,"10,6","6,34","4,76","10,6",BRC0420E,Nome não encontrado
Ferro,mg,"0,32","0,19","0,14","0,32",BRC0420E,Nome não encontrado
Sódio,mg,271,162,122,271,BRC0420E,Nome não encontrado
Magnésio,mg,"23,7","14,2","10,7","23,7",BRC0420E,Nome não encontrado
Fósforo,mg,203,122,"91,7",203,BRC0420E,Nome não encontrado
Potássio,mg,385,231,173,385,BRC0420E,Nome não encontrado
Manganês,mg,"0,06","0,03","0,03","0,06",BRC0420E,Nome não encontrado
Zinco,mg,"0,39","0,23","0,17","0,39",BRC0420E,Nome não encontrado
Cobre,mg,"0,16","0,10","0,07","0,16",BRC0420E,Nome não encontrado
Selênio,mcg,"30,2","18,1","13,6","30,2",BRC0420E,Nome não encontrado
Vitamina A (RE),mcg,"31,8","19,1","14,3","31,8",BRC0420E,Nome não encontrado
Vitamina A (RAE),mcg,"18,1","10,9","8,14","18,1",BRC0420E,Nome não encontrado
Vitamina D,mcg,"0,08","0,05","0,03","0,08",BRC0420E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,64","0,38","0,29","0,64",BRC0420E,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,03","0,06",BRC0420E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,01",BRC0420E,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0420E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0420E,Nome não encontrado
Vitamina B12,mcg,"1,02","0,61","0,46","1,02",BRC0420E,Nome não encontrado
Vitamina C,mg,"4,07","2,44","1,83","4,07",BRC0420E,Nome não encontrado
Equivalente de folato,mcg,"5,25","3,15","2,36","5,25",BRC0420E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0420E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0420E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0420E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0420E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0420E,Nome não encontrado
