componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,217,43,281,BRC0248E,Nome não encontrado
Energia,kcal,51,10,66,BRC0248E,Nome não encontrado
Umidade,g,"87,5","17,5",113,BRC0248E,Nome não encontrado
Carboidrato total,g,"1,36","0,27","1,77",BRC0248E,Nome não encontrado
Carboidrato disponível,g,"1,08","0,22","1,41",BRC0248E,Nome não encontrado
Proteína,g,"8,53","1,71","11,1",BRC0248E,Nome não encontrado
Lipídios,g,"1,34","0,27","1,75",BRC0248E,Nome não encontrado
Fibra alimentar,g,"0,28","0,06","0,36",BRC0248E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0248E,Nome não encontrado
Cinzas,g,"1,31","0,26","1,70",BRC0248E,Nome não encontrado
Colesterol,mg,112,"22,5",146,BRC0248E,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,06","0,39",BRC0248E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,26","0,05","0,34",BRC0248E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,54","0,11","0,70",BRC0248E,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,01",BRC0248E,Nome não encontrado
Cálcio,mg,"47,0","9,40","61,1",BRC0248E,Nome não encontrado
Ferro,mg,"1,18","0,24","1,54",BRC0248E,Nome não encontrado
Sódio,mg,383,"76,8",499,BRC0248E,Nome não encontrado
Magnésio,mg,"11,0","2,21","14,3",BRC0248E,Nome não encontrado
Fósforo,mg,131,"26,3",170,BRC0248E,Nome não encontrado
Potássio,mg,"95,9","19,2",124,BRC0248E,Nome não encontrado
Manganês,mg,"0,07","0,01","0,08",BRC0248E,Nome não encontrado
Zinco,mg,"0,58","0,12","0,75",BRC0248E,Nome não encontrado
Cobre,mg,"0,20","0,04","0,26",BRC0248E,Nome não encontrado
Selênio,mcg,"0,05","0,01","0,07",BRC0248E,Nome não encontrado
Vitamina A (RE),mcg,"35,4","7,07","46,0",BRC0248E,Nome não encontrado
Vitamina A (RAE),mcg,"20,5","4,10","26,7",BRC0248E,Nome não encontrado
Vitamina D,mcg,"0,04","0,01","0,05",BRC0248E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,84","0,17","1,10",BRC0248E,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,01",BRC0248E,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0248E,Nome não encontrado
Niacina,mg,"0,10","0,02","0,12",BRC0248E,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,03",BRC0248E,Nome não encontrado
Vitamina B12,mcg,"0,75","0,15","0,97",BRC0248E,Nome não encontrado
Vitamina C,mg,"2,96","0,59","3,84",BRC0248E,Nome não encontrado
Equivalente de folato,mcg,"11,6","2,32","15,1",BRC0248E,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0248E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0248E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0248E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0248E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0248E,Nome não encontrado
