componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,33,65,BRC0070H,Nome não encontrado
Energia,kcal,8,15,BRC0070H,Nome não encontrado
Umidade,g,"98,0",195,BRC0070H,Nome não encontrado
Carboidrato total,g,"1,46","2,92",BRC0070H,Nome não encontrado
Carboidrato disponível,g,"0,60","1,19",BRC0070H,Nome não encontrado
Proteína,g,"0,22","0,43",BRC0070H,Nome não encontrado
Lipídios,g,"0,32","0,64",BRC0070H,Nome não encontrado
Fibra alimentar,g,"0,87","1,73",BRC0070H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0070H,Nome não encontrado
Cinzas,g,"0,00","0,01",BRC0070H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0070H,Nome não encontrado
Ácidos graxos saturados,g,"0,11","0,23",BRC0070H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,05",BRC0070H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,24",BRC0070H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0070H,Nome não encontrado
Cálcio,mg,"2,72","5,43",BRC0070H,Nome não encontrado
Ferro,mg,"0,09","0,17",BRC0070H,Nome não encontrado
Sódio,mg,"1,55","3,09",BRC0070H,Nome não encontrado
Magnésio,mg,"5,02","10,0",BRC0070H,Nome não encontrado
Fósforo,mg,"3,34","6,69",BRC0070H,Nome não encontrado
Potássio,mg,"42,2","84,4",BRC0070H,Nome não encontrado
Manganês,mg,"0,04","0,09",BRC0070H,Nome não encontrado
Zinco,mg,"0,02","0,03",BRC0070H,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0070H,Nome não encontrado
Selênio,mcg,,,BRC0070H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0070H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0070H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0070H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0070H,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0070H,Nome não encontrado
Riboflavina,mg,"0,00","0,01",BRC0070H,Nome não encontrado
Niacina,mg,"0,21","0,42",BRC0070H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0070H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0070H,Nome não encontrado
Vitamina C,mg,traços,,BRC0070H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0070H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0070H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0070H,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0070H,Nome não encontrado
Proteína vegetal,g,"0,22","0,43",BRC0070H,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0070H,Nome não encontrado
