componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,610,365,243,BRC0884B,Nome não encontrado
Energia,kcal,144,86,57,BRC0884B,Nome não encontrado
Umidade,g,"59,7","35,8","23,9",BRC0884B,Nome não encontrado
Carboidrato total,g,"35,1","21,1","14,0",BRC0884B,Nome não encontrado
Carboidrato disponível,g,"31,2","18,7","12,5",BRC0884B,Nome não encontrado
Proteína,g,"2,20","1,32","0,88",BRC0884B,Nome não encontrado
Lipídios,g,"0,29","0,17","0,12",BRC0884B,Nome não encontrado
Fibra alimentar,g,"3,92","2,35","1,57",BRC0884B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0884B,Nome não encontrado
Cinzas,g,"2,75","1,65","1,10",BRC0884B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0884B,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,06","0,04",BRC0884B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0884B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,05","0,03",BRC0884B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0884B,Nome não encontrado
Cálcio,mg,"38,5","23,1","15,4",BRC0884B,Nome não encontrado
Ferro,mg,"0,54","0,32","0,22",BRC0884B,Nome não encontrado
Sódio,mg,"11,6","6,94","4,63",BRC0884B,Nome não encontrado
Magnésio,mg,"32,1","19,3","12,9",BRC0884B,Nome não encontrado
Fósforo,mg,"48,4","29,0","19,4",BRC0884B,Nome não encontrado
Potássio,mg,449,269,179,BRC0884B,Nome não encontrado
Manganês,mg,"0,26","0,16","0,11",BRC0884B,Nome não encontrado
Zinco,mg,"0,27","0,16","0,11",BRC0884B,Nome não encontrado
Cobre,mg,"0,15","0,09","0,06",BRC0884B,Nome não encontrado
Selênio,mcg,"1,11","0,66","0,44",BRC0884B,Nome não encontrado
Vitamina A (RE),mcg,785,471,314,BRC0884B,Nome não encontrado
Vitamina A (RAE),mcg,393,235,157,BRC0884B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0884B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,46","0,88","0,58",BRC0884B,Nome não encontrado
Tiamina,mg,"0,06","0,04","0,02",BRC0884B,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0884B,Nome não encontrado
Niacina,mg,"0,01","0,00","0,00",BRC0884B,Nome não encontrado
Vitamina B6,mg,"0,12","0,07","0,05",BRC0884B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0884B,Nome não encontrado
Vitamina C,mg,"17,4","10,5","6,97",BRC0884B,Nome não encontrado
Equivalente de folato,mcg,"15,0","8,98","5,99",BRC0884B,Nome não encontrado
Sal de adição,g,"0,47","0,28","0,19",BRC0884B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0884B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0884B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0884B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0884B,Nome não encontrado
