componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,368,735,BRC0150H,Nome não encontrado
Energia,kcal,88,175,BRC0150H,Nome não encontrado
Umidade,g,"83,8",167,BRC0150H,Nome não encontrado
Carboidrato total,g,"7,76","15,5",BRC0150H,Nome não encontrado
Carboidrato disponível,g,"7,57","15,1",BRC0150H,Nome não encontrado
Proteína,g,"0,10","0,20",BRC0150H,Nome não encontrado
Lipídios,g,"0,03","0,07",BRC0150H,Nome não encontrado
Fibra alimentar,g,"0,18","0,36",BRC0150H,Nome não encontrado
Álcool,g,"8,09","16,2",BRC0150H,Nome não encontrado
Cinzas,g,"0,20","0,39",BRC0150H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0150H,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,02",BRC0150H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,01",BRC0150H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02",BRC0150H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0150H,Nome não encontrado
Cálcio,mg,"11,4","22,8",BRC0150H,Nome não encontrado
Ferro,mg,"0,45","0,91",BRC0150H,Nome não encontrado
Sódio,mg,"3,12","6,25",BRC0150H,Nome não encontrado
Magnésio,mg,"7,57","15,1",BRC0150H,Nome não encontrado
Fósforo,mg,"6,55","13,1",BRC0150H,Nome não encontrado
Potássio,mg,"78,8",157,BRC0150H,Nome não encontrado
Manganês,mg,"0,43","0,85",BRC0150H,Nome não encontrado
Zinco,mg,"0,08","0,16",BRC0150H,Nome não encontrado
Cobre,mg,"0,04","0,08",BRC0150H,Nome não encontrado
Selênio,mcg,"0,18","0,37",BRC0150H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0150H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0150H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0150H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,05",BRC0150H,Nome não encontrado
Tiamina,mg,traços,,BRC0150H,Nome não encontrado
Riboflavina,mg,"0,02","0,04",BRC0150H,Nome não encontrado
Niacina,mg,"0,14","0,28",BRC0150H,Nome não encontrado
Vitamina B6,mg,"0,05","0,09",BRC0150H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0150H,Nome não encontrado
Vitamina C,mg,"0,03","0,06",BRC0150H,Nome não encontrado
Equivalente de folato,mcg,"0,91","1,82",BRC0150H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0150H,Nome não encontrado
Açúcar de adição,g,"5,00","10,00",BRC0150H,Nome não encontrado
Gordura de adição,g,-,-,BRC0150H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0150H,Nome não encontrado
Proteína animal,g,-,-,BRC0150H,Nome não encontrado
