componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,697,348,174,767,627,BRC0960A,Nome não encontrado
Energia,kcal,166,82,41,182,149,BRC0960A,Nome não encontrado
Umidade,g,"64,8","32,4","16,2","71,3","58,3",BRC0960A,Nome não encontrado
Carboidrato total,g,"19,3","9,67","4,84","21,3","17,4",BRC0960A,Nome não encontrado
Carboidrato disponível,g,"18,7","9,34","4,67","20,6","16,8",BRC0960A,Nome não encontrado
Proteína,g,"8,84","4,42","2,21","9,72","7,96",BRC0960A,Nome não encontrado
Lipídios,g,"6,06","3,03","1,52","6,67","5,46",BRC0960A,Nome não encontrado
Fibra alimentar,g,"0,66","0,33","0,16","0,72","0,59",BRC0960A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0960A,Nome não encontrado
Cinzas,g,"0,97","0,48","0,24","1,06","0,87",BRC0960A,Nome não encontrado
Colesterol,mg,"16,8","8,39","4,20","18,5","15,1",BRC0960A,Nome não encontrado
Ácidos graxos saturados,g,"0,98","0,49","0,25","1,08","0,88",BRC0960A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,46","1,73","0,86","3,80","3,11",BRC0960A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,42","0,71","0,36","1,56","1,28",BRC0960A,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01","0,03","0,03",BRC0960A,Nome não encontrado
Cálcio,mg,"7,16","3,58","1,79","7,88","6,45",BRC0960A,Nome não encontrado
Ferro,mg,"0,51","0,26","0,13","0,56","0,46",BRC0960A,Nome não encontrado
Sódio,mg,278,139,"69,5",305,250,BRC0960A,Nome não encontrado
Magnésio,mg,"7,38","3,69","1,84","8,11","6,64",BRC0960A,Nome não encontrado
Fósforo,mg,"77,5","38,8","19,4","85,3","69,8",BRC0960A,Nome não encontrado
Potássio,mg,"94,0","47,0","23,5",103,"84,6",BRC0960A,Nome não encontrado
Manganês,mg,"0,13","0,06","0,03","0,14","0,11",BRC0960A,Nome não encontrado
Zinco,mg,"0,41","0,20","0,10","0,45","0,36",BRC0960A,Nome não encontrado
Cobre,mg,"0,04","0,02","0,01","0,05","0,04",BRC0960A,Nome não encontrado
Selênio,mcg,"14,4","7,19","3,59","15,8","12,9",BRC0960A,Nome não encontrado
Vitamina A (RE),mcg,"2,96","1,48","0,74","3,25","2,66",BRC0960A,Nome não encontrado
Vitamina A (RAE),mcg,"1,48","0,74","0,37","1,63","1,33",BRC0960A,Nome não encontrado
Vitamina D,mcg,"1,35","0,68","0,34","1,49","1,22",BRC0960A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,24","0,62","0,31","1,36","1,12",BRC0960A,Nome não encontrado
Tiamina,mg,"0,07","0,03","0,02","0,07","0,06",BRC0960A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,00","0,02","0,02",BRC0960A,Nome não encontrado
Niacina,mg,"1,66","0,83","0,41","1,82","1,49",BRC0960A,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00","0,01","0,01",BRC0960A,Nome não encontrado
Vitamina B12,mcg,"0,48","0,24","0,12","0,52","0,43",BRC0960A,Nome não encontrado
Vitamina C,mg,"0,18","0,09","0,04","0,20","0,16",BRC0960A,Nome não encontrado
Equivalente de folato,mcg,"48,5","24,3","12,1","53,4","43,7",BRC0960A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,12","0,52","0,42",BRC0960A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0960A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0960A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0960A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0960A,Nome não encontrado
