componente,unidade,Valor por 100g,Xícara chá (30 g),codigo_alimento,nome_alimento
Energia,kJ,125,37,BRC0082B,Nome não encontrado
Energia,kcal,30,9,BRC0082B,Nome não encontrado
Umidade,g,"90,2","27,1",BRC0082B,Nome não encontrado
Carboidrato total,g,"4,95","1,48",BRC0082B,Nome não encontrado
Carboidrato disponível,g,"1,43","0,43",BRC0082B,Nome não encontrado
Proteína,g,"2,67","0,80",BRC0082B,Nome não encontrado
Lipídios,g,"0,74","0,22",BRC0082B,Nome não encontrado
Fibra alimentar,g,"3,52","1,06",BRC0082B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0082B,Nome não encontrado
Cinzas,g,"1,39","0,42",BRC0082B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0082B,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,03",BRC0082B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,03",BRC0082B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,09",BRC0082B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0082B,Nome não encontrado
Cálcio,mg,126,"37,8",BRC0082B,Nome não encontrado
Ferro,mg,"1,27","0,38",BRC0082B,Nome não encontrado
Sódio,mg,"19,3","5,80",BRC0082B,Nome não encontrado
Magnésio,mg,"29,6","8,87",BRC0082B,Nome não encontrado
Fósforo,mg,"48,3","14,5",BRC0082B,Nome não encontrado
Potássio,mg,265,"79,6",BRC0082B,Nome não encontrado
Manganês,mg,"0,23","0,07",BRC0082B,Nome não encontrado
Zinco,mg,"1,33","0,40",BRC0082B,Nome não encontrado
Cobre,mg,"0,20","0,06",BRC0082B,Nome não encontrado
Selênio,mcg,"0,61","0,18",BRC0082B,Nome não encontrado
Vitamina A (RE),mcg,1210,363,BRC0082B,Nome não encontrado
Vitamina A (RAE),mcg,605,181,BRC0082B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0082B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,02","0,61",BRC0082B,Nome não encontrado
Tiamina,mg,traços,traços,BRC0082B,Nome não encontrado
Riboflavina,mg,"0,11","0,03",BRC0082B,Nome não encontrado
Niacina,mg,traços,traços,BRC0082B,Nome não encontrado
Vitamina B6,mg,"0,08","0,02",BRC0082B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0082B,Nome não encontrado
Vitamina C,mg,"1,51","0,45",BRC0082B,Nome não encontrado
Equivalente de folato,mcg,"85,7","25,7",BRC0082B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0082B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0082B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0082B,Nome não encontrado
Proteína vegetal,g,"2,67","0,80",BRC0082B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0082B,Nome não encontrado
