componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,70,168,116,BRC0217C,Nome não encontrado
Energia,kcal,17,40,27,BRC0217C,Nome não encontrado
Umidade,g,"95,5",229,157,BRC0217C,Nome não encontrado
Carboidrato total,g,"3,78","9,07","6,24",BRC0217C,Nome não encontrado
Carboidrato disponível,g,"3,13","7,52","5,17",BRC0217C,Nome não encontrado
Proteína,g,"0,34","0,82","0,56",BRC0217C,Nome não encontrado
Lipídios,g,"0,17","0,40","0,27",BRC0217C,Nome não encontrado
Fibra alimentar,g,"0,65","1,56","1,07",BRC0217C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0217C,Nome não encontrado
Cinzas,g,"0,19","0,44","0,31",BRC0217C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0217C,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,02","0,01",BRC0217C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,05","0,03",BRC0217C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,24","0,16",BRC0217C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0217C,Nome não encontrado
Cálcio,mg,"7,35","17,6","12,1",BRC0217C,Nome não encontrado
Ferro,mg,"0,16","0,37","0,26",BRC0217C,Nome não encontrado
Sódio,mg,"3,49","8,38","5,76",BRC0217C,Nome não encontrado
Magnésio,mg,"5,86","14,1","9,66",BRC0217C,Nome não encontrado
Fósforo,mg,"9,68","23,2","16,0",BRC0217C,Nome não encontrado
Potássio,mg,"51,4",123,"84,8",BRC0217C,Nome não encontrado
Manganês,mg,"0,31","0,74","0,51",BRC0217C,Nome não encontrado
Zinco,mg,"0,05","0,12","0,09",BRC0217C,Nome não encontrado
Cobre,mg,"0,03","0,08","0,05",BRC0217C,Nome não encontrado
Selênio,mcg,"0,17","0,41","0,28",BRC0217C,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0217C,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0217C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0217C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,11","0,27","0,19",BRC0217C,Nome não encontrado
Tiamina,mg,"0,03","0,07","0,05",BRC0217C,Nome não encontrado
Riboflavina,mg,"0,01","0,03","0,02",BRC0217C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0217C,Nome não encontrado
Vitamina B6,mg,"0,01","0,02","0,01",BRC0217C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0217C,Nome não encontrado
Vitamina C,mg,"24,8","59,5","40,9",BRC0217C,Nome não encontrado
Equivalente de folato,mcg,"7,90","19,0","13,0",BRC0217C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0217C,Nome não encontrado
Açúcar de adição,g,"8,00","19,2","13,2",BRC0217C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0217C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0217C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0217C,Nome não encontrado
