componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1350,53,13,BRC1064B,Nome não encontrado
Energia,kcal,327,13,3,BRC1064B,Nome não encontrado
Umidade,g,"8,81","0,35","0,09",BRC1064B,Nome não encontrado
Carboidrato total,g,"52,3","2,09","0,52",BRC1064B,Nome não encontrado
Carboidrato disponível,g,"12,5","0,50","0,13",BRC1064B,Nome não encontrado
Proteína,g,"15,8","0,63","0,16",BRC1064B,Nome não encontrado
Lipídios,g,"14,9","0,59","0,15",BRC1064B,Nome não encontrado
Fibra alimentar,g,"39,8","1,59","0,40",BRC1064B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1064B,Nome não encontrado
Cinzas,g,"8,22","0,33","0,08",BRC1064B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC1064B,Nome não encontrado
Ácidos graxos saturados,g,"0,48","0,02","0,00",BRC1064B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"9,91","0,40","0,10",BRC1064B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,69","0,07","0,02",BRC1064B,Nome não encontrado
Ácidos graxos trans,g,,,,BRC1064B,Nome não encontrado
Cálcio,mg,1196,"47,8","12,0",BRC1064B,Nome não encontrado
Ferro,mg,"18,5","0,74","0,19",BRC1064B,Nome não encontrado
Sódio,mg,"88,0","3,52","0,88",BRC1064B,Nome não encontrado
Magnésio,mg,385,"15,4","3,85",BRC1064B,Nome não encontrado
Fósforo,mg,487,"19,5","4,87",BRC1064B,Nome não encontrado
Potássio,mg,1694,"67,8","16,9",BRC1064B,Nome não encontrado
Manganês,mg,"6,53","0,26","0,07",BRC1064B,Nome não encontrado
Zinco,mg,"3,70","0,15","0,04",BRC1064B,Nome não encontrado
Cobre,mg,"1,07","0,04","0,01",BRC1064B,Nome não encontrado
Selênio,mcg,,,,BRC1064B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC1064B,Nome não encontrado
Vitamina A (RAE),mcg,"7,00","0,28","0,07",BRC1064B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1064B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC1064B,Nome não encontrado
Tiamina,mg,"0,41","0,02","0,00",BRC1064B,Nome não encontrado
Riboflavina,mg,"0,35","0,01","0,00",BRC1064B,Nome não encontrado
Niacina,mg,"6,05","0,24","0,06",BRC1064B,Nome não encontrado
Vitamina B6,mg,"0,47","0,02","0,00",BRC1064B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC1064B,Nome não encontrado
Vitamina C,mg,"21,0","0,84","0,21",BRC1064B,Nome não encontrado
Equivalente de folato,mcg,,,,BRC1064B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1064B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1064B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC1064B,Nome não encontrado
Proteína vegetal,g,"15,8","0,63","0,16",BRC1064B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC1064B,Nome não encontrado
