componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,110,264,181,220,BRC0050H,Nome não encontrado
Energia,kcal,26,62,42,51,BRC0050H,Nome não encontrado
Umidade,g,"93,5",224,154,187,BRC0050H,Nome não encontrado
Carboidrato total,g,"6,42","15,4","10,6","12,8",BRC0050H,Nome não encontrado
Carboidrato disponível,g,"6,42","15,4","10,6","12,8",BRC0050H,Nome não encontrado
Proteína,g,"0,02","0,05","0,03","0,04",BRC0050H,Nome não encontrado
Lipídios,g,"0,02","0,04","0,03","0,04",BRC0050H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Cinzas,g,"0,03","0,07","0,05","0,06",BRC0050H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Cálcio,mg,"8,81","21,1","14,5","17,6",BRC0050H,Nome não encontrado
Ferro,mg,"0,13","0,31","0,21","0,26",BRC0050H,Nome não encontrado
Sódio,mg,"0,76","1,83","1,26","1,52",BRC0050H,Nome não encontrado
Magnésio,mg,"3,95","9,48","6,52","7,90",BRC0050H,Nome não encontrado
Fósforo,mg,"0,80","1,91","1,32","1,59",BRC0050H,Nome não encontrado
Potássio,mg,"18,4","44,3","30,4","36,9",BRC0050H,Nome não encontrado
Manganês,mg,"0,13","0,30","0,21","0,25",BRC0050H,Nome não encontrado
Zinco,mg,"0,01","0,02","0,02","0,02",BRC0050H,Nome não encontrado
Cobre,mg,"0,01","0,01","0,01","0,01",BRC0050H,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Tiamina,mg,"1,64","3,94","2,71","3,28",BRC0050H,Nome não encontrado
Riboflavina,mg,"0,23","0,54","0,37","0,45",BRC0050H,Nome não encontrado
Niacina,mg,traços,traços,traços,,BRC0050H,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,,BRC0050H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Vitamina C,mg,traços,traços,traços,,BRC0050H,Nome não encontrado
Equivalente de folato,mcg,"1,79","4,30","2,96","3,58",BRC0050H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0050H,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0050H,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0050H,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0050H,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0050H,Nome não encontrado
