componente,unidade,Valor por 100g,Colher sopa cheia (21 g),Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,1783,374,285,BRC0049T,Nome não encontrado
Energia,kcal,427,89,68,BRC0049T,Nome não encontrado
Umidade,g,"9,70","2,04","1,55",BRC0049T,Nome não encontrado
Carboidrato total,g,"22,6","4,74","3,61",BRC0049T,Nome não encontrado
Carboidrato disponível,g,"10,7","2,25","1,71",BRC0049T,Nome não encontrado
Proteína,g,"39,9","8,39","6,39",BRC0049T,Nome não encontrado
Lipídios,g,"22,3","4,69","3,57",BRC0049T,Nome não encontrado
Fibra alimentar,g,"11,9","2,50","1,90",BRC0049T,Nome não encontrado
Álcool,g,,,,BRC0049T,Nome não encontrado
Cinzas,g,"5,44","1,14","0,87",BRC0049T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0049T,Nome não encontrado
Ácidos graxos saturados,g,"3,23","0,68","0,52",BRC0049T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,94","1,04","0,79",BRC0049T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"12,6","2,65","2,02",BRC0049T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0049T,Nome não encontrado
Cálcio,mg,203,"42,6","32,5",BRC0049T,Nome não encontrado
Ferro,mg,"13,5","2,82","2,15",BRC0049T,Nome não encontrado
Sódio,mg,"10,8","2,26","1,72",BRC0049T,Nome não encontrado
Magnésio,mg,210,"44,2","33,7",BRC0049T,Nome não encontrado
Fósforo,mg,453,"95,2","72,6",BRC0049T,Nome não encontrado
Potássio,mg,1590,334,254,BRC0049T,Nome não encontrado
Manganês,mg,"2,22","0,47","0,36",BRC0049T,Nome não encontrado
Zinco,mg,"3,54","0,74","0,57",BRC0049T,Nome não encontrado
Cobre,mg,"1,17","0,25","0,19",BRC0049T,Nome não encontrado
Selênio,mcg,"80,0","16,8","12,8",BRC0049T,Nome não encontrado
Vitamina A (RE),mcg,"2,44","0,51","0,39",BRC0049T,Nome não encontrado
Vitamina A (RAE),mcg,"1,22","0,26","0,20",BRC0049T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0049T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,95","0,20","0,15",BRC0049T,Nome não encontrado
Tiamina,mg,"0,86","0,18","0,14",BRC0049T,Nome não encontrado
Riboflavina,mg,"0,86","0,18","0,14",BRC0049T,Nome não encontrado
Niacina,mg,"1,60","0,34","0,26",BRC0049T,Nome não encontrado
Vitamina B6,mg,"0,38","0,08","0,06",BRC0049T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0049T,Nome não encontrado
Vitamina C,mg,"5,92","1,24","0,95",BRC0049T,Nome não encontrado
Equivalente de folato,mcg,370,"77,8","59,2",BRC0049T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0049T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0049T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0049T,Nome não encontrado
Proteína vegetal,g,"39,9","8,39","6,39",BRC0049T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0049T,Nome não encontrado
