componente,unidade,Valor por 100g,Concha cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,209,209,BRC0172T,Nome não encontrado
Energia,kcal,50,50,BRC0172T,Nome não encontrado
Umidade,g,"85,7","85,7",BRC0172T,Nome não encontrado
Carboidrato total,g,"9,65","9,65",BRC0172T,Nome não encontrado
Carboidrato disponível,g,"5,18","5,18",BRC0172T,Nome não encontrado
Proteína,g,"2,48","2,48",BRC0172T,Nome não encontrado
Lipídios,g,"1,18","1,18",BRC0172T,Nome não encontrado
Fibra alimentar,g,"4,47","4,47",BRC0172T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0172T,Nome não encontrado
Cinzas,g,"0,99","0,99",BRC0172T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0172T,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,19",BRC0172T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,24","0,24",BRC0172T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,67","0,67",BRC0172T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0172T,Nome não encontrado
Cálcio,mg,"19,1","19,1",BRC0172T,Nome não encontrado
Ferro,mg,"0,74","0,74",BRC0172T,Nome não encontrado
Sódio,mg,181,181,BRC0172T,Nome não encontrado
Magnésio,mg,"21,9","21,9",BRC0172T,Nome não encontrado
Fósforo,mg,"48,7","48,7",BRC0172T,Nome não encontrado
Potássio,mg,192,192,BRC0172T,Nome não encontrado
Manganês,mg,"0,19","0,19",BRC0172T,Nome não encontrado
Zinco,mg,"0,84","0,84",BRC0172T,Nome não encontrado
Cobre,mg,"0,25","0,25",BRC0172T,Nome não encontrado
Selênio,mcg,"1,20","1,20",BRC0172T,Nome não encontrado
Vitamina A (RE),mcg,"5,34","5,34",BRC0172T,Nome não encontrado
Vitamina A (RAE),mcg,"2,67","2,67",BRC0172T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0172T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,43","0,43",BRC0172T,Nome não encontrado
Tiamina,mg,"0,05","0,05",BRC0172T,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0172T,Nome não encontrado
Niacina,mg,"0,12","0,12",BRC0172T,Nome não encontrado
Vitamina B6,mg,"0,04","0,04",BRC0172T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0172T,Nome não encontrado
Vitamina C,mg,"19,4","19,4",BRC0172T,Nome não encontrado
Equivalente de folato,mcg,"42,9","42,9",BRC0172T,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0172T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0172T,Nome não encontrado
Gordura de adição,g,-,-,BRC0172T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0172T,Nome não encontrado
Proteína animal,g,-,-,BRC0172T,Nome não encontrado
