componente,unidade,Valor por 100g,Colher sopa cheia (42 g),Colher sopa rasa (30 g),codigo_alimento,nome_alimento
Energia,kJ,566,237,169,BRC0301B,Nome não encontrado
Energia,kcal,135,56,40,BRC0301B,Nome não encontrado
Umidade,g,"71,3","29,9","21,4",BRC0301B,Nome não encontrado
Carboidrato total,g,"21,3","8,94","6,38",BRC0301B,Nome não encontrado
Carboidrato disponível,g,"18,7","7,87","5,62",BRC0301B,Nome não encontrado
Proteína,g,"0,79","0,33","0,24",BRC0301B,Nome não encontrado
Lipídios,g,"5,76","2,42","1,73",BRC0301B,Nome não encontrado
Fibra alimentar,g,"2,53","1,06","0,76",BRC0301B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0301B,Nome não encontrado
Cinzas,g,"0,91","0,38","0,27",BRC0301B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0301B,Nome não encontrado
Ácidos graxos saturados,g,"1,42","0,60","0,43",BRC0301B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,24","0,52","0,37",BRC0301B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,75","1,15","0,82",BRC0301B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0301B,Nome não encontrado
Cálcio,mg,"20,2","8,50","6,07",BRC0301B,Nome não encontrado
Ferro,mg,"0,22","0,09","0,07",BRC0301B,Nome não encontrado
Sódio,mg,192,"80,9","57,8",BRC0301B,Nome não encontrado
Magnésio,mg,"13,0","5,46","3,90",BRC0301B,Nome não encontrado
Fósforo,mg,"18,2","7,64","5,46",BRC0301B,Nome não encontrado
Potássio,mg,172,"72,4","51,7",BRC0301B,Nome não encontrado
Manganês,mg,"0,16","0,07","0,05",BRC0301B,Nome não encontrado
Zinco,mg,"0,14","0,06","0,04",BRC0301B,Nome não encontrado
Cobre,mg,"0,08","0,03","0,02",BRC0301B,Nome não encontrado
Selênio,mcg,"0,18","0,08","0,06",BRC0301B,Nome não encontrado
Vitamina A (RE),mcg,1309,549,392,BRC0301B,Nome não encontrado
Vitamina A (RAE),mcg,660,277,198,BRC0301B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0301B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,00","0,84","0,60",BRC0301B,Nome não encontrado
Tiamina,mg,"0,10","0,04","0,03",BRC0301B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0301B,Nome não encontrado
Niacina,mg,"2,98","1,25","0,89",BRC0301B,Nome não encontrado
Vitamina B6,mg,"0,06","0,02","0,02",BRC0301B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0301B,Nome não encontrado
Vitamina C,mg,"27,6","11,6","8,27",BRC0301B,Nome não encontrado
Equivalente de folato,mcg,"6,85","2,88","2,06",BRC0301B,Nome não encontrado
Sal de adição,g,"0,47","0,20","0,14",BRC0301B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0301B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0301B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0301B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0301B,Nome não encontrado
