componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,125,249,BRC0061H,Nome não encontrado
Energia,kcal,29,58,BRC0061H,Nome não encontrado
Umidade,g,"92,5",184,BRC0061H,Nome não encontrado
Carboidrato total,g,"6,85","13,7",BRC0061H,Nome não encontrado
Carboidrato disponível,g,"6,85","13,7",BRC0061H,Nome não encontrado
Proteína,g,"0,40","0,80",BRC0061H,Nome não encontrado
Lipídios,g,"0,04","0,08",BRC0061H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0061H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0061H,Nome não encontrado
Cinzas,g,"0,23","0,47",BRC0061H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0061H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,01",BRC0061H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,06",BRC0061H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0061H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0061H,Nome não encontrado
Cálcio,mg,"4,53","9,07",BRC0061H,Nome não encontrado
Ferro,mg,"0,13","0,26",BRC0061H,Nome não encontrado
Sódio,mg,"1,33","2,65",BRC0061H,Nome não encontrado
Magnésio,mg,"7,08","14,2",BRC0061H,Nome não encontrado
Fósforo,mg,"6,12","12,2",BRC0061H,Nome não encontrado
Potássio,mg,"98,4",196,BRC0061H,Nome não encontrado
Manganês,mg,"0,14","0,29",BRC0061H,Nome não encontrado
Zinco,mg,"0,01","0,02",BRC0061H,Nome não encontrado
Cobre,mg,"0,01","0,01",BRC0061H,Nome não encontrado
Selênio,mcg,,,BRC0061H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0061H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0061H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0061H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,04",BRC0061H,Nome não encontrado
Tiamina,mg,"0,01","0,02",BRC0061H,Nome não encontrado
Riboflavina,mg,"0,05","0,09",BRC0061H,Nome não encontrado
Niacina,mg,"0,11","0,22",BRC0061H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0061H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0061H,Nome não encontrado
Vitamina C,mg,traços,,BRC0061H,Nome não encontrado
Equivalente de folato,mcg,"1,13","2,26",BRC0061H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0061H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0061H,Nome não encontrado
Gordura de adição,g,-,-,BRC0061H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0061H,Nome não encontrado
Proteína animal,g,-,-,BRC0061H,Nome não encontrado
