componente,unidade,Valor por 100g,Colher servir cheia (70 g),Colher servir rasa (55 g),codigo_alimento,nome_alimento
Energia,kJ,493,344,271,BRC0264E,Nome não encontrado
Energia,kcal,118,82,64,BRC0264E,Nome não encontrado
Umidade,g,"71,8","50,2","39,5",BRC0264E,Nome não encontrado
Carboidrato total,g,"13,3","9,34","7,34",BRC0264E,Nome não encontrado
Carboidrato disponível,g,"12,3","8,64","6,79",BRC0264E,Nome não encontrado
Proteína,g,"10,8","7,56","5,94",BRC0264E,Nome não encontrado
Lipídios,g,"2,60","1,82","1,43",BRC0264E,Nome não encontrado
Fibra alimentar,g,"1,01","0,70","0,55",BRC0264E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0264E,Nome não encontrado
Cinzas,g,"1,48","1,03","0,81",BRC0264E,Nome não encontrado
Colesterol,mg,"55,5","38,9","30,5",BRC0264E,Nome não encontrado
Ácidos graxos saturados,g,"0,53","0,37","0,29",BRC0264E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,57","0,40","0,31",BRC0264E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,18","0,83","0,65",BRC0264E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01",BRC0264E,Nome não encontrado
Cálcio,mg,"26,8","18,8","14,8",BRC0264E,Nome não encontrado
Ferro,mg,"4,83","3,38","2,66",BRC0264E,Nome não encontrado
Sódio,mg,315,221,173,BRC0264E,Nome não encontrado
Magnésio,mg,"25,2","17,7","13,9",BRC0264E,Nome não encontrado
Fósforo,mg,"94,7","66,3","52,1",BRC0264E,Nome não encontrado
Potássio,mg,176,123,"97,2",BRC0264E,Nome não encontrado
Manganês,mg,"0,70","0,49","0,39",BRC0264E,Nome não encontrado
Zinco,mg,"1,10","0,77","0,60",BRC0264E,Nome não encontrado
Cobre,mg,"0,41","0,29","0,22",BRC0264E,Nome não encontrado
Selênio,mcg,"8,77","6,14","4,82",BRC0264E,Nome não encontrado
Vitamina A (RE),mcg,"9,85","6,90","5,42",BRC0264E,Nome não encontrado
Vitamina A (RAE),mcg,"17,0","11,9","9,35",BRC0264E,Nome não encontrado
Vitamina D,mcg,"0,01","0,00","0,00",BRC0264E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,56","0,39","0,31",BRC0264E,Nome não encontrado
Tiamina,mg,"0,05","0,04","0,03",BRC0264E,Nome não encontrado
Riboflavina,mg,"0,04","0,03","0,02",BRC0264E,Nome não encontrado
Niacina,mg,"1,27","0,89","0,70",BRC0264E,Nome não encontrado
Vitamina B6,mg,"0,09","0,06","0,05",BRC0264E,Nome não encontrado
Vitamina B12,mcg,"3,98","2,78","2,19",BRC0264E,Nome não encontrado
Vitamina C,mg,"10,4","7,31","5,75",BRC0264E,Nome não encontrado
Equivalente de folato,mcg,"15,1","10,5","8,28",BRC0264E,Nome não encontrado
Sal de adição,g,"0,45","0,32","0,25",BRC0264E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0264E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0264E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0264E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0264E,Nome não encontrado
