componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,694,416,312,694,BRC0395E,Nome não encontrado
Energia,kcal,165,99,74,165,BRC0395E,Nome não encontrado
Umidade,g,"64,4","38,6","29,0","64,4",BRC0395E,Nome não encontrado
Carboidrato total,g,"0,52","0,31","0,23","0,52",BRC0395E,Nome não encontrado
Carboidrato disponível,g,"0,02","0,01","0,01","0,02",BRC0395E,Nome não encontrado
Proteína,g,"27,6","16,5","12,4","27,6",BRC0395E,Nome não encontrado
Lipídios,g,"5,98","3,59","2,69","5,98",BRC0395E,Nome não encontrado
Fibra alimentar,g,"0,51","0,30","0,23","0,51",BRC0395E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0395E,Nome não encontrado
Cinzas,g,"1,52","0,91","0,69","1,52",BRC0395E,Nome não encontrado
Colesterol,mg,"50,7","30,4","22,8","50,7",BRC0395E,Nome não encontrado
Ácidos graxos saturados,g,"1,30","0,78","0,59","1,30",BRC0395E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,38","0,83","0,62","1,38",BRC0395E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,02","1,81","1,36","3,02",BRC0395E,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01","0,03",BRC0395E,Nome não encontrado
Cálcio,mg,"10,2","6,13","4,60","10,2",BRC0395E,Nome não encontrado
Ferro,mg,"1,44","0,87","0,65","1,44",BRC0395E,Nome não encontrado
Sódio,mg,"32,8","19,7","14,8","32,8",BRC0395E,Nome não encontrado
Magnésio,mg,"37,3","22,4","16,8","37,3",BRC0395E,Nome não encontrado
Fósforo,mg,276,165,124,276,BRC0395E,Nome não encontrado
Potássio,mg,383,230,172,383,BRC0395E,Nome não encontrado
Manganês,mg,"0,02","0,01","0,01","0,02",BRC0395E,Nome não encontrado
Zinco,mg,"0,47","0,28","0,21","0,47",BRC0395E,Nome não encontrado
Cobre,mg,"0,13","0,08","0,06","0,13",BRC0395E,Nome não encontrado
Selênio,mcg,"32,7","19,6","14,7","32,7",BRC0395E,Nome não encontrado
Vitamina A (RE),mcg,"39,6","23,8","17,8","39,6",BRC0395E,Nome não encontrado
Vitamina A (RAE),mcg,"29,5","17,7","13,3","29,5",BRC0395E,Nome não encontrado
Vitamina D,mcg,"0,97","0,58","0,43","0,97",BRC0395E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,79","0,48","0,36","0,79",BRC0395E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01","0,02",BRC0395E,Nome não encontrado
Riboflavina,mg,"0,05","0,03","0,02","0,05",BRC0395E,Nome não encontrado
Niacina,mg,"5,98","3,59","2,69","5,98",BRC0395E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0395E,Nome não encontrado
Vitamina B12,mcg,"7,60","4,56","3,42","7,60",BRC0395E,Nome não encontrado
Vitamina C,mg,"9,35","5,61","4,21","9,35",BRC0395E,Nome não encontrado
Equivalente de folato,mcg,"13,6","8,18","6,14","13,6",BRC0395E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0395E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0395E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0395E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0395E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0395E,Nome não encontrado
