componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (6 g),codigo_alimento,nome_alimento
Energia,kJ,1059,264,63,BRC0772F,Nome não encontrado
Energia,kcal,255,63,15,BRC0772F,Nome não encontrado
Umidade,g,"58,4","14,6","3,51",BRC0772F,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00",BRC0772F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00",BRC0772F,Nome não encontrado
Proteína,g,"20,6","5,16","1,24",BRC0772F,Nome não encontrado
Lipídios,g,"19,1","4,78","1,15",BRC0772F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0772F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0772F,Nome não encontrado
Cinzas,g,"1,24","0,31","0,07",BRC0772F,Nome não encontrado
Colesterol,mg,257,"64,5","15,5",BRC0772F,Nome não encontrado
Ácidos graxos saturados,g,"4,44","1,11","0,27",BRC0772F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,78","1,45","0,35",BRC0772F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"6,26","1,57","0,38",BRC0772F,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,03","0,01",BRC0772F,Nome não encontrado
Cálcio,mg,"7,68","1,92","0,46",BRC0772F,Nome não encontrado
Ferro,mg,"6,00","1,50","0,36",BRC0772F,Nome não encontrado
Sódio,mg,117,"29,5","7,08",BRC0772F,Nome não encontrado
Magnésio,mg,"18,5","4,63","1,11",BRC0772F,Nome não encontrado
Fósforo,mg,253,"63,4","15,2",BRC0772F,Nome não encontrado
Potássio,mg,223,"55,8","13,4",BRC0772F,Nome não encontrado
Manganês,mg,"0,05","0,01","0,00",BRC0772F,Nome não encontrado
Zinco,mg,"3,17","0,79","0,19",BRC0772F,Nome não encontrado
Cobre,mg,"0,28","0,07","0,02",BRC0772F,Nome não encontrado
Selênio,mcg,"5,46","1,36","0,33",BRC0772F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,BRC0772F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,BRC0772F,Nome não encontrado
Vitamina D,mcg,,,,BRC0772F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0772F,Nome não encontrado
Tiamina,mg,"0,18","0,05","0,01",BRC0772F,Nome não encontrado
Riboflavina,mg,"0,18","0,04","0,01",BRC0772F,Nome não encontrado
Niacina,mg,"8,92","2,23","0,54",BRC0772F,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0772F,Nome não encontrado
Vitamina B12,mcg,"6,48","1,62","0,39",BRC0772F,Nome não encontrado
Vitamina C,mg,"3,05","0,76","0,18",BRC0772F,Nome não encontrado
Equivalente de folato,mcg,"59,4","14,9","3,57",BRC0772F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0772F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0772F,Nome não encontrado
Gordura de adição,g,,,,BRC0772F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0772F,Nome não encontrado
Proteína animal,g,"20,6","5,16","1,24",BRC0772F,Nome não encontrado
