componente,unidade,Valor por 100g,Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,1381,276,BRC0930B,Nome não encontrado
Energia,kcal,336,67,BRC0930B,Nome não encontrado
Umidade,g,"51,5","10,3",BRC0930B,Nome não encontrado
Carboidrato total,g,"12,5","2,50",BRC0930B,Nome não encontrado
Carboidrato disponível,g,"2,63","0,53",BRC0930B,Nome não encontrado
Proteína,g,"2,23","0,45",BRC0930B,Nome não encontrado
Lipídios,g,"33,0","6,59",BRC0930B,Nome não encontrado
Fibra alimentar,g,"9,87","1,97",BRC0930B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0930B,Nome não encontrado
Cinzas,g,"0,77","0,15",BRC0930B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0930B,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0930B,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0930B,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0930B,Nome não encontrado
Ácidos graxos trans,g,,,BRC0930B,Nome não encontrado
Cálcio,mg,"28,5","5,70",BRC0930B,Nome não encontrado
Ferro,mg,"0,50","0,10",BRC0930B,Nome não encontrado
Sódio,mg,129,"25,9",BRC0930B,Nome não encontrado
Magnésio,mg,"31,9","6,38",BRC0930B,Nome não encontrado
Fósforo,mg,"29,1","5,82",BRC0930B,Nome não encontrado
Potássio,mg,138,"27,8",BRC0930B,Nome não encontrado
Manganês,mg,"0,50","0,10",BRC0930B,Nome não encontrado
Zinco,mg,"0,59","0,12",BRC0930B,Nome não encontrado
Cobre,mg,"0,36","0,07",BRC0930B,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0930B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0930B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0930B,Nome não encontrado
Vitamina D,mcg,,,BRC0930B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,02",BRC0930B,Nome não encontrado
Tiamina,mg,"0,14","0,03",BRC0930B,Nome não encontrado
Riboflavina,mg,"0,40","0,08",BRC0930B,Nome não encontrado
Niacina,mg,"2,13","0,43",BRC0930B,Nome não encontrado
Vitamina B6,mg,"0,05","0,01",BRC0930B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0930B,Nome não encontrado
Vitamina C,mg,"14,3","2,86",BRC0930B,Nome não encontrado
Equivalente de folato,mcg,"4,98","1,00",BRC0930B,Nome não encontrado
Sal de adição,g,"0,32","0,06",BRC0930B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0930B,Nome não encontrado
Gordura de adição,g,-,-,BRC0930B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0930B,Nome não encontrado
Proteína animal,g,-,-,BRC0930B,Nome não encontrado
