componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,194,388,BRC0084H,Nome não encontrado
Energia,kcal,46,91,BRC0084H,Nome não encontrado
Umidade,g,"88,3",176,BRC0084H,Nome não encontrado
Carboidrato total,g,"9,33","18,7",BRC0084H,Nome não encontrado
Carboidrato disponível,g,"9,33","18,7",BRC0084H,Nome não encontrado
Proteína,g,"1,67","3,35",BRC0084H,Nome não encontrado
Lipídios,g,"0,20","0,39",BRC0084H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0084H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0084H,Nome não encontrado
Cinzas,g,"0,53","1,06",BRC0084H,Nome não encontrado
Colesterol,mg,"17,7","35,3",BRC0084H,Nome não encontrado
Ácidos graxos saturados,g,"0,12","0,24",BRC0084H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,04",BRC0084H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0084H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0084H,Nome não encontrado
Cálcio,mg,"67,2",134,BRC0084H,Nome não encontrado
Ferro,mg,"0,13","0,26",BRC0084H,Nome não encontrado
Sódio,mg,"25,3","50,6",BRC0084H,Nome não encontrado
Magnésio,mg,"10,1","20,2",BRC0084H,Nome não encontrado
Fósforo,mg,"44,7","89,4",BRC0084H,Nome não encontrado
Potássio,mg,135,270,BRC0084H,Nome não encontrado
Manganês,mg,"0,14","0,27",BRC0084H,Nome não encontrado
Zinco,mg,"0,19","0,38",BRC0084H,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0084H,Nome não encontrado
Selênio,mcg,,,BRC0084H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0084H,Nome não encontrado
Vitamina A (RAE),mcg,"4,23","8,46",BRC0084H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0084H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,07",BRC0084H,Nome não encontrado
Tiamina,mg,"0,02","0,05",BRC0084H,Nome não encontrado
Riboflavina,mg,"0,16","0,31",BRC0084H,Nome não encontrado
Niacina,mg,"0,78","1,55",BRC0084H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0084H,Nome não encontrado
Vitamina B12,mcg,"0,26","0,52",BRC0084H,Nome não encontrado
Vitamina C,mg,traços,,BRC0084H,Nome não encontrado
Equivalente de folato,mcg,"3,33","6,67",BRC0084H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0084H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0084H,Nome não encontrado
Gordura de adição,g,-,-,BRC0084H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0084H,Nome não encontrado
Proteína animal,g,-,-,BRC0084H,Nome não encontrado
