componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,782,234,BRC0169T,Nome não encontrado
Energia,kcal,185,55,BRC0169T,Nome não encontrado
Umidade,g,"49,5","14,9",BRC0169T,Nome não encontrado
Carboidrato total,g,"21,8","6,55",BRC0169T,Nome não encontrado
Carboidrato disponível,g,"17,3","5,19",BRC0169T,Nome não encontrado
Proteína,g,"23,2","6,97",BRC0169T,Nome não encontrado
Lipídios,g,"1,53","0,46",BRC0169T,Nome não encontrado
Fibra alimentar,g,"4,51","1,35",BRC0169T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0169T,Nome não encontrado
Cinzas,g,"3,94","1,18",BRC0169T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0169T,Nome não encontrado
Ácidos graxos saturados,g,"0,25","0,08",BRC0169T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,40","0,12",BRC0169T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,80","0,24",BRC0169T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0169T,Nome não encontrado
Cálcio,mg,"52,9","15,9",BRC0169T,Nome não encontrado
Ferro,mg,"4,06","1,22",BRC0169T,Nome não encontrado
Sódio,mg,424,127,BRC0169T,Nome não encontrado
Magnésio,mg,"12,4","3,73",BRC0169T,Nome não encontrado
Fósforo,mg,232,"69,8",BRC0169T,Nome não encontrado
Potássio,mg,"51,2","15,4",BRC0169T,Nome não encontrado
Manganês,mg,"0,02","0,01",BRC0169T,Nome não encontrado
Zinco,mg,"1,21","0,36",BRC0169T,Nome não encontrado
Cobre,mg,"0,02","0,01",BRC0169T,Nome não encontrado
Selênio,mcg,"0,07","0,02",BRC0169T,Nome não encontrado
Vitamina A (RE),mcg,"24,2","7,25",BRC0169T,Nome não encontrado
Vitamina A (RAE),mcg,"12,1","3,63",BRC0169T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0169T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,20","0,06",BRC0169T,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0169T,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0169T,Nome não encontrado
Niacina,mg,"0,35","0,11",BRC0169T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01",BRC0169T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0169T,Nome não encontrado
Vitamina C,mg,"0,72","0,22",BRC0169T,Nome não encontrado
Equivalente de folato,mcg,"2,13","0,64",BRC0169T,Nome não encontrado
Sal de adição,g,"0,45","0,14",BRC0169T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0169T,Nome não encontrado
Gordura de adição,g,-,-,BRC0169T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0169T,Nome não encontrado
Proteína animal,g,-,-,BRC0169T,Nome não encontrado
