componente,unidade,Valor por 100g,Porção Média (90 g),codigo_alimento,nome_alimento
Energia,kJ,252,227,BRC0369B,Nome não encontrado
Energia,kcal,61,54,BRC0369B,Nome não encontrado
Umidade,g,"89,2","80,3",BRC0369B,Nome não encontrado
Carboidrato total,g,"4,31","3,88",BRC0369B,Nome não encontrado
Carboidrato disponível,g,"2,28","2,06",BRC0369B,Nome não encontrado
Proteína,g,"0,91","0,82",BRC0369B,Nome não encontrado
Lipídios,g,"4,91","4,42",BRC0369B,Nome não encontrado
Fibra alimentar,g,"2,03","1,82",BRC0369B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0369B,Nome não encontrado
Cinzas,g,"0,66","0,59",BRC0369B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0369B,Nome não encontrado
Ácidos graxos saturados,g,"0,73","0,66",BRC0369B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,47","3,12",BRC0369B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,61","0,54",BRC0369B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0369B,Nome não encontrado
Cálcio,mg,"16,3","14,6",BRC0369B,Nome não encontrado
Ferro,mg,"0,19","0,17",BRC0369B,Nome não encontrado
Sódio,mg,135,122,BRC0369B,Nome não encontrado
Magnésio,mg,"7,66","6,89",BRC0369B,Nome não encontrado
Fósforo,mg,"17,7","15,9",BRC0369B,Nome não encontrado
Potássio,mg,151,136,BRC0369B,Nome não encontrado
Manganês,mg,"0,04","0,04",BRC0369B,Nome não encontrado
Zinco,mg,"0,17","0,15",BRC0369B,Nome não encontrado
Cobre,mg,"0,01","0,01",BRC0369B,Nome não encontrado
Selênio,mcg,"0,24","0,21",BRC0369B,Nome não encontrado
Vitamina A (RE),mcg,314,283,BRC0369B,Nome não encontrado
Vitamina A (RAE),mcg,158,142,BRC0369B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0369B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,44","1,29",BRC0369B,Nome não encontrado
Tiamina,mg,"0,03","0,03",BRC0369B,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0369B,Nome não encontrado
Niacina,mg,"0,83","0,75",BRC0369B,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0369B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0369B,Nome não encontrado
Vitamina C,mg,"6,32","5,69",BRC0369B,Nome não encontrado
Equivalente de folato,mcg,"15,0","13,5",BRC0369B,Nome não encontrado
Sal de adição,g,"0,32","0,29",BRC0369B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0369B,Nome não encontrado
Gordura de adição,g,-,-,BRC0369B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0369B,Nome não encontrado
Proteína animal,g,-,-,BRC0369B,Nome não encontrado
