componente,unidade,Valor por 100g,Porção Média (40 g),codigo_alimento,nome_alimento
Energia,kJ,1316,526,BRC0180C,Nome não encontrado
Energia,kcal,311,124,BRC0180C,Nome não encontrado
Umidade,g,"16,0","6,40",BRC0180C,Nome não encontrado
Carboidrato total,g,"80,1","32,0",BRC0180C,Nome não encontrado
Carboidrato disponível,g,"70,4","28,2",BRC0180C,Nome não encontrado
Proteína,g,"2,00","0,80",BRC0180C,Nome não encontrado
Lipídios,g,"0,20","0,08",BRC0180C,Nome não encontrado
Fibra alimentar,g,"9,70","3,88",BRC0180C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0180C,Nome não encontrado
Cinzas,g,"1,70","0,68",BRC0180C,Nome não encontrado
Colesterol,mg,,,BRC0180C,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0180C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0180C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0180C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0180C,Nome não encontrado
Cálcio,mg,"47,0","18,8",BRC0180C,Nome não encontrado
Ferro,mg,"2,60","1,04",BRC0180C,Nome não encontrado
Sódio,mg,"14,0","5,60",BRC0180C,Nome não encontrado
Magnésio,mg,"50,0","20,0",BRC0180C,Nome não encontrado
Fósforo,mg,"58,0","23,2",BRC0180C,Nome não encontrado
Potássio,mg,730,292,BRC0180C,Nome não encontrado
Manganês,mg,"0,47","0,19",BRC0180C,Nome não encontrado
Zinco,mg,"0,60","0,24",BRC0180C,Nome não encontrado
Cobre,mg,"0,19","0,08",BRC0180C,Nome não encontrado
Selênio,mcg,,,BRC0180C,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0180C,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0180C,Nome não encontrado
Vitamina D,mcg,,,BRC0180C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0180C,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0180C,Nome não encontrado
Riboflavina,mg,"0,10","0,04",BRC0180C,Nome não encontrado
Niacina,mg,"1,40","0,56",BRC0180C,Nome não encontrado
Vitamina B6,mg,,,BRC0180C,Nome não encontrado
Vitamina B12,mcg,,,BRC0180C,Nome não encontrado
Vitamina C,mg,"5,00","2,00",BRC0180C,Nome não encontrado
Equivalente de folato,mcg,,,BRC0180C,Nome não encontrado
Sal de adição,g,,,BRC0180C,Nome não encontrado
Açúcar de adição,g,,,BRC0180C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0180C,Nome não encontrado
Proteína vegetal,g,"2,00","0,80",BRC0180C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0180C,Nome não encontrado
