componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,319,766,526,BRC0077G,Nome não encontrado
Energia,kcal,76,182,125,BRC0077G,Nome não encontrado
Umidade,g,"82,8",198,136,BRC0077G,Nome não encontrado
Carboidrato total,g,"12,3","29,4","20,2",BRC0077G,Nome não encontrado
Carboidrato disponível,g,"11,7","28,1","19,3",BRC0077G,Nome não encontrado
Proteína,g,"2,16","5,18","3,56",BRC0077G,Nome não encontrado
Lipídios,g,"2,14","5,13","3,53",BRC0077G,Nome não encontrado
Fibra alimentar,g,"0,54","1,31","0,90",BRC0077G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0077G,Nome não encontrado
Cinzas,g,"0,64","1,54","1,06",BRC0077G,Nome não encontrado
Colesterol,mg,"8,04","19,3","13,3",BRC0077G,Nome não encontrado
Ácidos graxos saturados,g,"1,32","3,17","2,18",BRC0077G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,62","1,48","1,02",BRC0077G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,09","0,21","0,14",BRC0077G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0077G,Nome não encontrado
Cálcio,mg,"77,4",185,127,BRC0077G,Nome não encontrado
Ferro,mg,"0,12","0,30","0,20",BRC0077G,Nome não encontrado
Sódio,mg,"43,0",103,"71,0",BRC0077G,Nome não encontrado
Magnésio,mg,"11,5","27,7","19,0",BRC0077G,Nome não encontrado
Fósforo,mg,"56,5",135,"93,3",BRC0077G,Nome não encontrado
Potássio,mg,153,368,253,BRC0077G,Nome não encontrado
Manganês,mg,"0,01","0,03","0,02",BRC0077G,Nome não encontrado
Zinco,mg,"0,27","0,65","0,45",BRC0077G,Nome não encontrado
Cobre,mg,"0,42","1,01","0,69",BRC0077G,Nome não encontrado
Selênio,mcg,"3,24","7,79","5,35",BRC0077G,Nome não encontrado
Vitamina A (RE),mcg,"38,4","92,1","63,3",BRC0077G,Nome não encontrado
Vitamina A (RAE),mcg,"34,8","83,5","57,4",BRC0077G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0077G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,22","0,15",BRC0077G,Nome não encontrado
Tiamina,mg,"0,04","0,08","0,06",BRC0077G,Nome não encontrado
Riboflavina,mg,"0,17","0,40","0,27",BRC0077G,Nome não encontrado
Niacina,mg,"0,99","2,37","1,63",BRC0077G,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0077G,Nome não encontrado
Vitamina B12,mcg,"0,24","0,58","0,40",BRC0077G,Nome não encontrado
Vitamina C,mg,"23,6","56,5","38,9",BRC0077G,Nome não encontrado
Equivalente de folato,mcg,"3,37","8,08","5,56",BRC0077G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0077G,Nome não encontrado
Açúcar de adição,g,"5,00","12,0","8,25",BRC0077G,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0077G,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0077G,Nome não encontrado
Proteína animal,g,-,-,-,BRC0077G,Nome não encontrado
