componente,unidade,Valor por 100g,Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,300,240,BRC0279T,Nome não encontrado
Energia,kcal,72,57,BRC0279T,Nome não encontrado
Umidade,g,"82,3","65,8",BRC0279T,Nome não encontrado
Carboidrato total,g,"11,1","8,91",BRC0279T,Nome não encontrado
Carboidrato disponível,g,"7,27","5,82",BRC0279T,Nome não encontrado
Proteína,g,"3,92","3,13",BRC0279T,Nome não encontrado
Lipídios,g,"2,14","1,71",BRC0279T,Nome não encontrado
Fibra alimentar,g,"3,87","3,09",BRC0279T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0279T,Nome não encontrado
Cinzas,g,"0,53","0,42",BRC0279T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0279T,Nome não encontrado
Ácidos graxos saturados,g,"0,34","0,27",BRC0279T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,52","0,42",BRC0279T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,20","0,96",BRC0279T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0279T,Nome não encontrado
Cálcio,mg,"15,2","12,1",BRC0279T,Nome não encontrado
Ferro,mg,"1,24","0,99",BRC0279T,Nome não encontrado
Sódio,mg,"4,31","3,45",BRC0279T,Nome não encontrado
Magnésio,mg,"19,4","15,5",BRC0279T,Nome não encontrado
Fósforo,mg,"66,0","52,8",BRC0279T,Nome não encontrado
Potássio,mg,152,122,BRC0279T,Nome não encontrado
Manganês,mg,"0,65","0,52",BRC0279T,Nome não encontrado
Zinco,mg,"1,04","0,83",BRC0279T,Nome não encontrado
Cobre,mg,"0,25","0,20",BRC0279T,Nome não encontrado
Selênio,mcg,"1,48","1,18",BRC0279T,Nome não encontrado
Vitamina A (RE),mcg,"0,96","0,76",BRC0279T,Nome não encontrado
Vitamina A (RAE),mcg,"0,48","0,38",BRC0279T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0279T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,23",BRC0279T,Nome não encontrado
Tiamina,mg,"0,06","0,05",BRC0279T,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0279T,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0279T,Nome não encontrado
Vitamina B6,mg,"0,29","0,23",BRC0279T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0279T,Nome não encontrado
Vitamina C,mg,"0,45","0,36",BRC0279T,Nome não encontrado
Equivalente de folato,mcg,"68,0","54,4",BRC0279T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0279T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0279T,Nome não encontrado
Gordura de adição,g,-,-,BRC0279T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0279T,Nome não encontrado
Proteína animal,g,-,-,BRC0279T,Nome não encontrado
