componente,unidade,Valor por 100g,Concha cheia (110 g),codigo_alimento,nome_alimento
Energia,kJ,293,321,BRC0384E,Nome não encontrado
Energia,kcal,69,76,BRC0384E,Nome não encontrado
Umidade,g,"83,5","91,9",BRC0384E,Nome não encontrado
Carboidrato total,g,"3,14","3,45",BRC0384E,Nome não encontrado
Carboidrato disponível,g,"2,68","2,94",BRC0384E,Nome não encontrado
Proteína,g,"11,0","12,2",BRC0384E,Nome não encontrado
Lipídios,g,"1,50","1,65",BRC0384E,Nome não encontrado
Fibra alimentar,g,"0,46","0,51",BRC0384E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0384E,Nome não encontrado
Cinzas,g,"0,82","0,90",BRC0384E,Nome não encontrado
Colesterol,mg,"19,2","21,2",BRC0384E,Nome não encontrado
Ácidos graxos saturados,g,"0,22","0,25",BRC0384E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,32","0,35",BRC0384E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,72","0,79",BRC0384E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0384E,Nome não encontrado
Cálcio,mg,"11,3","12,5",BRC0384E,Nome não encontrado
Ferro,mg,"0,27","0,29",BRC0384E,Nome não encontrado
Sódio,mg,122,134,BRC0384E,Nome não encontrado
Magnésio,mg,"14,2","15,6",BRC0384E,Nome não encontrado
Fósforo,mg,115,126,BRC0384E,Nome não encontrado
Potássio,mg,207,228,BRC0384E,Nome não encontrado
Manganês,mg,"0,08","0,08",BRC0384E,Nome não encontrado
Zinco,mg,"0,27","0,29",BRC0384E,Nome não encontrado
Cobre,mg,"0,11","0,12",BRC0384E,Nome não encontrado
Selênio,mcg,"17,5","19,2",BRC0384E,Nome não encontrado
Vitamina A (RE),mcg,"28,9","31,8",BRC0384E,Nome não encontrado
Vitamina A (RAE),mcg,"23,0","25,3",BRC0384E,Nome não encontrado
Vitamina D,mcg,"0,06","0,07",BRC0384E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,61","0,67",BRC0384E,Nome não encontrado
Tiamina,mg,"0,04","0,04",BRC0384E,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0384E,Nome não encontrado
Niacina,mg,"0,10","0,11",BRC0384E,Nome não encontrado
Vitamina B6,mg,"0,03","0,03",BRC0384E,Nome não encontrado
Vitamina B12,mcg,"0,53","0,58",BRC0384E,Nome não encontrado
Vitamina C,mg,"9,06","9,97",BRC0384E,Nome não encontrado
Equivalente de folato,mcg,"4,98","5,48",BRC0384E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0384E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0384E,Nome não encontrado
Gordura de adição,g,-,-,BRC0384E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0384E,Nome não encontrado
Proteína animal,g,-,-,BRC0384E,Nome não encontrado
