componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,366,879,604,BRC0073G,Nome não encontrado
Energia,kcal,87,208,143,BRC0073G,Nome não encontrado
Umidade,g,"80,1",192,132,BRC0073G,Nome não encontrado
Carboidrato total,g,"14,5","34,9","24,0",BRC0073G,Nome não encontrado
Carboidrato disponível,g,"14,1","33,9","23,3",BRC0073G,Nome não encontrado
Proteína,g,"2,39","5,74","3,94",BRC0073G,Nome não encontrado
Lipídios,g,"2,32","5,56","3,82",BRC0073G,Nome não encontrado
Fibra alimentar,g,"0,43","1,02","0,70",BRC0073G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0073G,Nome não encontrado
Cinzas,g,"0,70","1,67","1,15",BRC0073G,Nome não encontrado
Colesterol,mg,"8,66","20,8","14,3",BRC0073G,Nome não encontrado
Ácidos graxos saturados,g,"1,43","3,42","2,35",BRC0073G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,65","1,57","1,08",BRC0073G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,20","0,14",BRC0073G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0073G,Nome não encontrado
Cálcio,mg,"76,0",182,125,BRC0073G,Nome não encontrado
Ferro,mg,"0,14","0,33","0,23",BRC0073G,Nome não encontrado
Sódio,mg,"45,2",108,"74,6",BRC0073G,Nome não encontrado
Magnésio,mg,"13,2","31,7","21,8",BRC0073G,Nome não encontrado
Fósforo,mg,"63,5",152,104,BRC0073G,Nome não encontrado
Potássio,mg,180,432,297,BRC0073G,Nome não encontrado
Manganês,mg,"0,03","0,08","0,05",BRC0073G,Nome não encontrado
Zinco,mg,"0,31","0,74","0,51",BRC0073G,Nome não encontrado
Cobre,mg,"0,04","0,09","0,06",BRC0073G,Nome não encontrado
Selênio,mcg,"3,43","8,23","5,66",BRC0073G,Nome não encontrado
Vitamina A (RE),mcg,"34,7","83,3","57,3",BRC0073G,Nome não encontrado
Vitamina A (RAE),mcg,"34,2","82,0","56,4",BRC0073G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0073G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,17","0,11",BRC0073G,Nome não encontrado
Tiamina,mg,"0,03","0,07","0,05",BRC0073G,Nome não encontrado
Riboflavina,mg,"0,17","0,41","0,28",BRC0073G,Nome não encontrado
Niacina,mg,"1,06","2,55","1,76",BRC0073G,Nome não encontrado
Vitamina B6,mg,"0,03","0,08","0,05",BRC0073G,Nome não encontrado
Vitamina B12,mcg,"0,26","0,63","0,43",BRC0073G,Nome não encontrado
Vitamina C,mg,"1,35","3,23","2,22",BRC0073G,Nome não encontrado
Equivalente de folato,mcg,"3,63","8,70","5,98",BRC0073G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0073G,Nome não encontrado
Açúcar de adição,g,"5,00","12,0","8,25",BRC0073G,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0073G,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0073G,Nome não encontrado
Proteína animal,g,-,-,-,BRC0073G,Nome não encontrado
