componente,unidade,Valor por 100g,Colher sopa rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,557,139,BRC0711A,Nome não encontrado
Energia,kcal,131,32,BRC0711A,Nome não encontrado
Umidade,g,"66,6","16,7",BRC0711A,Nome não encontrado
Carboidrato total,g,"30,2","7,55",BRC0711A,Nome não encontrado
Carboidrato disponível,g,"29,0","7,25",BRC0711A,Nome não encontrado
Proteína,g,"2,34","0,59",BRC0711A,Nome não encontrado
Lipídios,g,"0,40","0,10",BRC0711A,Nome não encontrado
Fibra alimentar,g,"1,18","0,30",BRC0711A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0711A,Nome não encontrado
Cinzas,g,"0,40","0,10",BRC0711A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0711A,Nome não encontrado
Ácidos graxos saturados,g,"0,15","0,04",BRC0711A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,05","0,01",BRC0711A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05","0,01",BRC0711A,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0711A,Nome não encontrado
Cálcio,mg,"5,15","1,29",BRC0711A,Nome não encontrado
Ferro,mg,"0,33","0,08",BRC0711A,Nome não encontrado
Sódio,mg,"41,7","10,4",BRC0711A,Nome não encontrado
Magnésio,mg,"23,8","5,95",BRC0711A,Nome não encontrado
Fósforo,mg,"19,5","4,88",BRC0711A,Nome não encontrado
Potássio,mg,"17,3","4,33",BRC0711A,Nome não encontrado
Manganês,mg,"1,02","0,26",BRC0711A,Nome não encontrado
Zinco,mg,"0,51","0,13",BRC0711A,Nome não encontrado
Cobre,mg,"0,15","0,04",BRC0711A,Nome não encontrado
Selênio,mcg,"1,67","0,42",BRC0711A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0711A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0711A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0711A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,01",BRC0711A,Nome não encontrado
Tiamina,mg,traços,traços,BRC0711A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0711A,Nome não encontrado
Niacina,mg,traços,traços,BRC0711A,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0711A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0711A,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0711A,Nome não encontrado
Equivalente de folato,mcg,"2,07","0,52",BRC0711A,Nome não encontrado
Sal de adição,g,"0,10","0,03",BRC0711A,Nome não encontrado
Açúcar de adição,g,"0,60","0,15",BRC0711A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0711A,Nome não encontrado
Proteína vegetal,g,"2,34","0,59",BRC0711A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0711A,Nome não encontrado
