componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,335,66,434,BRC0504F,Nome não encontrado
Energia,kcal,80,15,103,BRC0504F,Nome não encontrado
Umidade,g,"83,8","16,8",108,BRC0504F,Nome não encontrado
Carboidrato total,g,"3,27","0,65","4,24",BRC0504F,Nome não encontrado
Carboidrato disponível,g,"2,46","0,49","3,19",BRC0504F,Nome não encontrado
Proteína,g,"8,72","1,74","11,3",BRC0504F,Nome não encontrado
Lipídios,g,"3,73","0,75","4,85",BRC0504F,Nome não encontrado
Fibra alimentar,g,"0,81","0,16","1,05",BRC0504F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0504F,Nome não encontrado
Cinzas,g,"0,45","0,09","0,59",BRC0504F,Nome não encontrado
Colesterol,mg,"15,5","3,09","20,1",BRC0504F,Nome não encontrado
Ácidos graxos saturados,g,"1,05","0,21","1,37",BRC0504F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,18","0,24","1,54",BRC0504F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,22","0,24","1,59",BRC0504F,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,01","0,07",BRC0504F,Nome não encontrado
Cálcio,mg,"7,50","1,50","9,75",BRC0504F,Nome não encontrado
Ferro,mg,"0,71","0,14","0,92",BRC0504F,Nome não encontrado
Sódio,mg,"17,2","3,45","22,4",BRC0504F,Nome não encontrado
Magnésio,mg,"7,63","1,53","9,92",BRC0504F,Nome não encontrado
Fósforo,mg,"60,6","12,1","78,8",BRC0504F,Nome não encontrado
Potássio,mg,142,"28,6",185,BRC0504F,Nome não encontrado
Manganês,mg,"0,05","0,01","0,07",BRC0504F,Nome não encontrado
Zinco,mg,"1,71","0,34","2,22",BRC0504F,Nome não encontrado
Cobre,mg,"0,05","0,01","0,06",BRC0504F,Nome não encontrado
Selênio,mcg,"0,40","0,08","0,52",BRC0504F,Nome não encontrado
Vitamina A (RE),mcg,134,"26,8",174,BRC0504F,Nome não encontrado
Vitamina A (RAE),mcg,"67,7","13,5","88,0",BRC0504F,Nome não encontrado
Vitamina D,mcg,"0,07","0,01","0,09",BRC0504F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,32","0,26","1,71",BRC0504F,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0504F,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0504F,Nome não encontrado
Niacina,mg,"0,79","0,16","1,03",BRC0504F,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0504F,Nome não encontrado
Vitamina B12,mcg,"0,34","0,07","0,44",BRC0504F,Nome não encontrado
Vitamina C,mg,"2,02","0,40","2,63",BRC0504F,Nome não encontrado
Equivalente de folato,mcg,"4,91","0,98","6,38",BRC0504F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0504F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0504F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0504F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0504F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0504F,Nome não encontrado
