componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,182,182,BRC0049C,Nome não encontrado
Energia,kcal,43,43,BRC0049C,Nome não encontrado
Umidade,g,"88,3","88,3",BRC0049C,Nome não encontrado
Carboidrato total,g,"10,1","10,1",BRC0049C,Nome não encontrado
Carboidrato disponível,g,"7,80","7,80",BRC0049C,Nome não encontrado
Proteína,g,"0,77","0,77",BRC0049C,Nome não encontrado
Lipídios,g,"0,49","0,49",BRC0049C,Nome não encontrado
Fibra alimentar,g,"2,34","2,34",BRC0049C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0049C,Nome não encontrado
Cinzas,g,"0,30","0,30",BRC0049C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0049C,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0049C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0049C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0049C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0049C,Nome não encontrado
Cálcio,mg,"1,39","1,39",BRC0049C,Nome não encontrado
Ferro,mg,"0,15","0,15",BRC0049C,Nome não encontrado
Sódio,mg,"2,92","2,92",BRC0049C,Nome não encontrado
Magnésio,mg,"9,94","9,94",BRC0049C,Nome não encontrado
Fósforo,mg,"15,4","15,4",BRC0049C,Nome não encontrado
Potássio,mg,121,121,BRC0049C,Nome não encontrado
Manganês,mg,"0,12","0,12",BRC0049C,Nome não encontrado
Zinco,mg,"0,09","0,09",BRC0049C,Nome não encontrado
Cobre,mg,"0,07","0,07",BRC0049C,Nome não encontrado
Selênio,mcg,,,BRC0049C,Nome não encontrado
Vitamina A (RE),mcg,"17,4","17,4",BRC0049C,Nome não encontrado
Vitamina A (RAE),mcg,"8,69","8,69",BRC0049C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0049C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0049C,Nome não encontrado
Tiamina,mg,traços,traços,BRC0049C,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0049C,Nome não encontrado
Niacina,mg,traços,traços,BRC0049C,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0049C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0049C,Nome não encontrado
Vitamina C,mg,257,257,BRC0049C,Nome não encontrado
Equivalente de folato,mcg,,,BRC0049C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0049C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0049C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0049C,Nome não encontrado
Proteína vegetal,g,"0,77","0,77",BRC0049C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0049C,Nome não encontrado
