componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),Prato raso (280 g),codigo_alimento,nome_alimento
Energia,kJ,575,287,632,517,1149,1609,BRC0237A,Nome não encontrado
Energia,kcal,136,68,150,122,272,381,BRC0237A,Nome não encontrado
Umidade,g,"67,1","33,5","73,8","60,4",134,187,BRC0237A,Nome não encontrado
Carboidrato total,g,"24,3","12,1","26,7","21,9","48,6","68,0",BRC0237A,Nome não encontrado
Carboidrato disponível,g,"21,4","10,7","23,6","19,3","42,9","60,0",BRC0237A,Nome não encontrado
Proteína,g,"4,99","2,50","5,49","4,49","9,98","14,0",BRC0237A,Nome não encontrado
Lipídios,g,"2,78","1,39","3,05","2,50","5,55","7,78",BRC0237A,Nome não encontrado
Fibra alimentar,g,"2,85","1,42","3,13","2,56","5,69","7,97",BRC0237A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0237A,Nome não encontrado
Cinzas,g,"0,90","0,45","0,98","0,81","1,79","2,51",BRC0237A,Nome não encontrado
Colesterol,mg,"3,69","1,85","4,06","3,32","7,39","10,3",BRC0237A,Nome não encontrado
Ácidos graxos saturados,g,"1,16","0,58","1,27","1,04","2,31","3,23",BRC0237A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,62","0,31","0,69","0,56","1,25","1,75",BRC0237A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,75","0,37","0,82","0,67","1,49","2,09",BRC0237A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01","0,01","0,02","0,02",BRC0237A,Nome não encontrado
Cálcio,mg,"39,3","19,6","43,2","35,4","78,6",110,BRC0237A,Nome não encontrado
Ferro,mg,"0,46","0,23","0,51","0,42","0,93","1,30",BRC0237A,Nome não encontrado
Sódio,mg,208,104,229,188,417,584,BRC0237A,Nome não encontrado
Magnésio,mg,"13,1","6,56","14,4","11,8","26,2","36,7",BRC0237A,Nome não encontrado
Fósforo,mg,"65,8","32,9","72,4","59,2",131,184,BRC0237A,Nome não encontrado
Potássio,mg,"78,2","39,1","86,0","70,3",156,218,BRC0237A,Nome não encontrado
Manganês,mg,"0,23","0,11","0,25","0,20","0,45","0,64",BRC0237A,Nome não encontrado
Zinco,mg,"0,45","0,23","0,50","0,41","0,90","1,26",BRC0237A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,07","0,06","0,13","0,18",BRC0237A,Nome não encontrado
Selênio,mcg,"3,65","1,83","4,02","3,29","7,30","10,2",BRC0237A,Nome não encontrado
Vitamina A (RE),mcg,"19,7","9,85","21,7","17,7","39,4","55,1",BRC0237A,Nome não encontrado
Vitamina A (RAE),mcg,"19,5","9,73","21,4","17,5","38,9","54,5",BRC0237A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0237A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,35","0,17","0,38","0,31","0,70","0,98",BRC0237A,Nome não encontrado
Tiamina,mg,"0,09","0,05","0,10","0,08","0,18","0,25",BRC0237A,Nome não encontrado
Riboflavina,mg,"0,11","0,06","0,12","0,10","0,22","0,31",BRC0237A,Nome não encontrado
Niacina,mg,"2,02","1,01","2,22","1,82","4,04","5,66",BRC0237A,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,07","0,06","0,13","0,18",BRC0237A,Nome não encontrado
Vitamina B12,mcg,"0,11","0,05","0,12","0,10","0,21","0,30",BRC0237A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0237A,Nome não encontrado
Equivalente de folato,mcg,"18,6","9,31","20,5","16,8","37,2","52,1",BRC0237A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42","0,94","1,32",BRC0237A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0237A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0237A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0237A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0237A,Nome não encontrado
