componente,unidade,Valor por 100g,Colher chá cheia (8 g),Colher chá rasa (4 g),Colher sobremesa cheia (23 g),Colher sobremesa rasa (13 g),Colher sopa cheia (32 g),Colher sopa rasa (19 g),codigo_alimento,nome_alimento
Energia,kJ,3656,292,146,840,475,1169,694,BRC0150G,Nome não encontrado
Energia,kcal,889,71,35,204,115,284,168,BRC0150G,Nome não encontrado
Umidade,g,"1,15","0,09","0,05","0,26","0,15","0,37","0,22",BRC0150G,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Proteína,g,"0,08","0,01","0,00","0,02","0,01","0,03","0,02",BRC0150G,Nome não encontrado
Lipídios,g,"98,8","7,90","3,95","22,7","12,8","31,6","18,8",BRC0150G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Cinzas,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Colesterol,mg,254,"20,3","10,2","58,5","33,0","81,3","48,3",BRC0150G,Nome não encontrado
Ácidos graxos saturados,g,"61,5","4,92","2,46","14,1","7,99","19,7","11,7",BRC0150G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"28,5","2,28","1,14","6,56","3,71","9,13","5,42",BRC0150G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,67","0,29","0,15","0,84","0,48","1,17","0,70",BRC0150G,Nome não encontrado
Ácidos graxos trans,g,"3,70","0,30","0,15","0,85","0,48","1,18","0,70",BRC0150G,Nome não encontrado
Cálcio,mg,"3,96","0,32","0,16","0,91","0,51","1,27","0,75",BRC0150G,Nome não encontrado
Ferro,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Sódio,mg,"1,98","0,16","0,08","0,46","0,26","0,63","0,38",BRC0150G,Nome não encontrado
Magnésio,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Fósforo,mg,"2,97","0,24","0,12","0,68","0,39","0,95","0,56",BRC0150G,Nome não encontrado
Potássio,mg,"4,95","0,40","0,20","1,14","0,64","1,58","0,94",BRC0150G,Nome não encontrado
Manganês,mg,,,,,,,,BRC0150G,Nome não encontrado
Zinco,mg,"0,01","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Vitamina A (RE),mcg,849,"68,0","34,0",195,110,271,161,BRC0150G,Nome não encontrado
Vitamina A (RAE),mcg,834,"66,7","33,4",191,108,266,158,BRC0150G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,78","0,22","0,11","0,64","0,36","0,89","0,53",BRC0150G,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0150G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0150G,Nome não encontrado
