componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,499,274,199,BRC0506A,Nome não encontrado
Energia,kcal,118,65,47,BRC0506A,Nome não encontrado
Umidade,g,"72,1","39,6","28,8",BRC0506A,Nome não encontrado
Carboidrato total,g,"22,6","12,4","9,04",BRC0506A,Nome não encontrado
Carboidrato disponível,g,"20,3","11,2","8,14",BRC0506A,Nome não encontrado
Proteína,g,"2,20","1,21","0,88",BRC0506A,Nome não encontrado
Lipídios,g,"2,63","1,45","1,05",BRC0506A,Nome não encontrado
Fibra alimentar,g,"2,27","1,25","0,91",BRC0506A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0506A,Nome não encontrado
Cinzas,g,"0,51","0,28","0,20",BRC0506A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0506A,Nome não encontrado
Ácidos graxos saturados,g,"0,48","0,26","0,19",BRC0506A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,68","0,38","0,27",BRC0506A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,39","0,76","0,56",BRC0506A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0506A,Nome não encontrado
Cálcio,mg,"11,3","6,20","4,51",BRC0506A,Nome não encontrado
Ferro,mg,"0,31","0,17","0,12",BRC0506A,Nome não encontrado
Sódio,mg,"1,71","0,94","0,69",BRC0506A,Nome não encontrado
Magnésio,mg,"19,8","10,9","7,91",BRC0506A,Nome não encontrado
Fósforo,mg,"43,0","23,6","17,2",BRC0506A,Nome não encontrado
Potássio,mg,140,"77,0","56,0",BRC0506A,Nome não encontrado
Manganês,mg,"0,21","0,11","0,08",BRC0506A,Nome não encontrado
Zinco,mg,"0,25","0,14","0,10",BRC0506A,Nome não encontrado
Cobre,mg,"0,03","0,02","0,01",BRC0506A,Nome não encontrado
Selênio,mcg,"0,59","0,32","0,24",BRC0506A,Nome não encontrado
Vitamina A (RE),mcg,"56,5","31,1","22,6",BRC0506A,Nome não encontrado
Vitamina A (RAE),mcg,"28,3","15,5","11,3",BRC0506A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0506A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,54","0,30","0,22",BRC0506A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02",BRC0506A,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,01",BRC0506A,Nome não encontrado
Niacina,mg,"0,20","0,11","0,08",BRC0506A,Nome não encontrado
Vitamina B6,mg,"0,08","0,04","0,03",BRC0506A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0506A,Nome não encontrado
Vitamina C,mg,"8,21","4,51","3,28",BRC0506A,Nome não encontrado
Equivalente de folato,mcg,"6,80","3,74","2,72",BRC0506A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,19",BRC0506A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0506A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0506A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0506A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0506A,Nome não encontrado
