componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,736,736,BRC0062J,Nome não encontrado
Energia,kcal,177,177,BRC0062J,Nome não encontrado
Umidade,g,"71,0","71,0",BRC0062J,Nome não encontrado
Carboidrato total,g,"2,30","2,30",BRC0062J,Nome não encontrado
Carboidrato disponível,g,"2,27","2,27",BRC0062J,Nome não encontrado
Proteína,g,"11,8","11,8",BRC0062J,Nome não encontrado
Lipídios,g,"13,4","13,4",BRC0062J,Nome não encontrado
Fibra alimentar,g,"0,03","0,03",BRC0062J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0062J,Nome não encontrado
Cinzas,g,"1,42","1,42",BRC0062J,Nome não encontrado
Colesterol,mg,375,375,BRC0062J,Nome não encontrado
Ácidos graxos saturados,g,"3,35","3,35",BRC0062J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,74","4,74",BRC0062J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,67","3,67",BRC0062J,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,04",BRC0062J,Nome não encontrado
Cálcio,mg,"44,5","44,5",BRC0062J,Nome não encontrado
Ferro,mg,"1,91","1,91",BRC0062J,Nome não encontrado
Sódio,mg,354,354,BRC0062J,Nome não encontrado
Magnésio,mg,"11,4","11,4",BRC0062J,Nome não encontrado
Fósforo,mg,164,164,BRC0062J,Nome não encontrado
Potássio,mg,158,158,BRC0062J,Nome não encontrado
Manganês,mg,"0,03","0,03",BRC0062J,Nome não encontrado
Zinco,mg,"1,40","1,40",BRC0062J,Nome não encontrado
Cobre,mg,"0,08","0,08",BRC0062J,Nome não encontrado
Selênio,mcg,"15,6","15,6",BRC0062J,Nome não encontrado
Vitamina A (RE),mcg,177,177,BRC0062J,Nome não encontrado
Vitamina A (RAE),mcg,170,170,BRC0062J,Nome não encontrado
Vitamina D,mcg,"1,98","1,98",BRC0062J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,14","1,14",BRC0062J,Nome não encontrado
Tiamina,mg,traços,traços,BRC0062J,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0062J,Nome não encontrado
Niacina,mg,"0,72","0,72",BRC0062J,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0062J,Nome não encontrado
Vitamina B12,mcg,"0,86","0,86",BRC0062J,Nome não encontrado
Vitamina C,mg,"0,38","0,38",BRC0062J,Nome não encontrado
Equivalente de folato,mcg,"34,8","34,8",BRC0062J,Nome não encontrado
Sal de adição,g,"0,47","0,47",BRC0062J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0062J,Nome não encontrado
Gordura de adição,g,"4,00","4,00",BRC0062J,Nome não encontrado
Proteína vegetal,g,"0,04","0,04",BRC0062J,Nome não encontrado
Proteína animal,g,"11,8","11,8",BRC0062J,Nome não encontrado
