componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,595,BRC0053L,Nome não encontrado
Energia,kcal,141,BRC0053L,Nome não encontrado
Umidade,g,"68,0",BRC0053L,Nome não encontrado
Carboidrato total,g,"25,3",BRC0053L,Nome não encontrado
Carboidrato disponível,g,"24,7",BRC0053L,Nome não encontrado
Proteína,g,"2,70",BRC0053L,Nome não encontrado
Lipídios,g,"3,35",BRC0053L,Nome não encontrado
Fibra alimentar,g,"0,58",BRC0053L,Nome não encontrado
Álcool,g,"0,00",BRC0053L,Nome não encontrado
Cinzas,g,"0,68",BRC0053L,Nome não encontrado
Colesterol,mg,"0,00",BRC0053L,Nome não encontrado
Ácidos graxos saturados,g,"1,08",BRC0053L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,06",BRC0053L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,61",BRC0053L,Nome não encontrado
Ácidos graxos trans,g,"0,44",BRC0053L,Nome não encontrado
Cálcio,mg,"18,8",BRC0053L,Nome não encontrado
Ferro,mg,"1,21",BRC0053L,Nome não encontrado
Sódio,mg,"98,3",BRC0053L,Nome não encontrado
Magnésio,mg,"17,9",BRC0053L,Nome não encontrado
Fósforo,mg,"52,8",BRC0053L,Nome não encontrado
Potássio,mg,152,BRC0053L,Nome não encontrado
Manganês,mg,"0,31",BRC0053L,Nome não encontrado
Zinco,mg,"0,28",BRC0053L,Nome não encontrado
Cobre,mg,"0,05",BRC0053L,Nome não encontrado
Selênio,mcg,"1,32",BRC0053L,Nome não encontrado
Vitamina A (RE),mcg,"19,2",BRC0053L,Nome não encontrado
Vitamina A (RAE),mcg,"19,2",BRC0053L,Nome não encontrado
Vitamina D,mcg,"0,00",BRC0053L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27",BRC0053L,Nome não encontrado
Tiamina,mg,"0,29",BRC0053L,Nome não encontrado
Riboflavina,mg,"0,17",BRC0053L,Nome não encontrado
Niacina,mg,"1,21",BRC0053L,Nome não encontrado
Vitamina B6,mg,"0,00",BRC0053L,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC0053L,Nome não encontrado
Vitamina C,mg,traços,BRC0053L,Nome não encontrado
Equivalente de folato,mcg,"42,7",BRC0053L,Nome não encontrado
Sal de adição,g,,BRC0053L,Nome não encontrado
Açúcar de adição,g,,BRC0053L,Nome não encontrado
Gordura de adição,g,-,BRC0053L,Nome não encontrado
Proteína vegetal,g,-,BRC0053L,Nome não encontrado
Proteína animal,g,-,BRC0053L,Nome não encontrado
