componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir rasa (35 g),Colher sopa cheia (20 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,219,98,76,43,26,BRC1016B,Nome não encontrado
Energia,kcal,53,23,18,10,6,BRC1016B,Nome não encontrado
Umidade,g,"89,5","40,3","31,3","17,9","10,7",BRC1016B,Nome não encontrado
Carboidrato total,g,"5,71","2,57","2,00","1,14","0,69",BRC1016B,Nome não encontrado
Carboidrato disponível,g,"3,78","1,70","1,32","0,76","0,45",BRC1016B,Nome não encontrado
Proteína,g,"1,19","0,54","0,42","0,24","0,14",BRC1016B,Nome não encontrado
Lipídios,g,"3,23","1,45","1,13","0,65","0,39",BRC1016B,Nome não encontrado
Fibra alimentar,g,"1,94","0,87","0,68","0,39","0,23",BRC1016B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC1016B,Nome não encontrado
Cinzas,g,"0,41","0,18","0,14","0,08","0,05",BRC1016B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC1016B,Nome não encontrado
Ácidos graxos saturados,g,"0,53","0,24","0,18","0,11","0,06",BRC1016B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,29","1,03","0,80","0,46","0,27",BRC1016B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,36","0,16","0,13","0,07","0,04",BRC1016B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01","0,00","0,00",BRC1016B,Nome não encontrado
Cálcio,mg,"19,6","8,81","6,85","3,91","2,35",BRC1016B,Nome não encontrado
Ferro,mg,"0,38","0,17","0,13","0,08","0,05",BRC1016B,Nome não encontrado
Sódio,mg,"2,44","1,10","0,85","0,49","0,29",BRC1016B,Nome não encontrado
Magnésio,mg,"9,58","4,31","3,35","1,92","1,15",BRC1016B,Nome não encontrado
Fósforo,mg,"22,7","10,2","7,96","4,55","2,73",BRC1016B,Nome não encontrado
Potássio,mg,151,"68,0","52,9","30,2","18,1",BRC1016B,Nome não encontrado
Manganês,mg,"0,12","0,05","0,04","0,02","0,01",BRC1016B,Nome não encontrado
Zinco,mg,"0,18","0,08","0,06","0,04","0,02",BRC1016B,Nome não encontrado
Cobre,mg,"0,05","0,02","0,02","0,01","0,01",BRC1016B,Nome não encontrado
Selênio,mcg,"0,26","0,12","0,09","0,05","0,03",BRC1016B,Nome não encontrado
Vitamina A (RE),mcg,159,"71,7","55,8","31,9","19,1",BRC1016B,Nome não encontrado
Vitamina A (RAE),mcg,"81,7","36,8","28,6","16,3","9,81",BRC1016B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC1016B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,03","0,47","0,36","0,21","0,12",BRC1016B,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,01","0,01","0,00",BRC1016B,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01","0,00","0,00",BRC1016B,Nome não encontrado
Niacina,mg,"0,01","0,00","0,00","0,00","0,00",BRC1016B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01","0,01","0,00",BRC1016B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC1016B,Nome não encontrado
Vitamina C,mg,"19,4","8,72","6,78","3,87","2,32",BRC1016B,Nome não encontrado
Equivalente de folato,mcg,"31,9","14,4","11,2","6,39","3,83",BRC1016B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1016B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC1016B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC1016B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC1016B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC1016B,Nome não encontrado
