componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,671,201,BRC0266T,Nome não encontrado
Energia,kcal,160,48,BRC0266T,Nome não encontrado
Umidade,g,"67,8","20,3",BRC0266T,Nome não encontrado
Carboidrato total,g,"19,6","5,89",BRC0266T,Nome não encontrado
Carboidrato disponível,g,"18,3","5,48",BRC0266T,Nome não encontrado
Proteína,g,"3,72","1,12",BRC0266T,Nome não encontrado
Lipídios,g,"7,77","2,33",BRC0266T,Nome não encontrado
Fibra alimentar,g,"1,37","0,41",BRC0266T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0266T,Nome não encontrado
Cinzas,g,"1,09","0,33",BRC0266T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0266T,Nome não encontrado
Ácidos graxos saturados,g,"1,29","0,39",BRC0266T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,34","1,30",BRC0266T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,44","0,43",BRC0266T,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0266T,Nome não encontrado
Cálcio,mg,"15,5","4,65",BRC0266T,Nome não encontrado
Ferro,mg,"1,38","0,41",BRC0266T,Nome não encontrado
Sódio,mg,216,"64,9",BRC0266T,Nome não encontrado
Magnésio,mg,"44,4","13,3",BRC0266T,Nome não encontrado
Fósforo,mg,"96,9","29,1",BRC0266T,Nome não encontrado
Potássio,mg,175,"52,7",BRC0266T,Nome não encontrado
Manganês,mg,"0,28","0,08",BRC0266T,Nome não encontrado
Zinco,mg,"0,89","0,27",BRC0266T,Nome não encontrado
Cobre,mg,"0,22","0,06",BRC0266T,Nome não encontrado
Selênio,mcg,"0,48","0,14",BRC0266T,Nome não encontrado
Vitamina A (RE),mcg,"0,13","0,04",BRC0266T,Nome não encontrado
Vitamina A (RAE),mcg,"37,5","11,2",BRC0266T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0266T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,48","0,14",BRC0266T,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0266T,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0266T,Nome não encontrado
Niacina,mg,"0,19","0,06",BRC0266T,Nome não encontrado
Vitamina B6,mg,"0,06","0,02",BRC0266T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0266T,Nome não encontrado
Vitamina C,mg,"1,71","0,51",BRC0266T,Nome não encontrado
Equivalente de folato,mcg,"12,2","3,67",BRC0266T,Nome não encontrado
Sal de adição,g,"0,50","0,15",BRC0266T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0266T,Nome não encontrado
Gordura de adição,g,-,-,BRC0266T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0266T,Nome não encontrado
Proteína animal,g,-,-,BRC0266T,Nome não encontrado
