componente,unidade,Valor por 100g,Colher sopa rasa (13 g),codigo_alimento,nome_alimento
Energia,kJ,1471,191,BRC0074R,Nome não encontrado
Energia,kcal,348,45,BRC0074R,Nome não encontrado
Umidade,g,"5,14","0,67",BRC0074R,Nome não encontrado
Carboidrato total,g,"63,9","8,30",BRC0074R,Nome não encontrado
Carboidrato disponível,g,"60,9","7,91",BRC0074R,Nome não encontrado
Proteína,g,"12,1","1,57",BRC0074R,Nome não encontrado
Lipídios,g,"5,60","0,73",BRC0074R,Nome não encontrado
Fibra alimentar,g,"3,00","0,39",BRC0074R,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0074R,Nome não encontrado
Cinzas,g,"13,3","1,73",BRC0074R,Nome não encontrado
Colesterol,mg,"63,7","8,28",BRC0074R,Nome não encontrado
Ácidos graxos saturados,g,"1,69","0,22",BRC0074R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,95","0,25",BRC0074R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,20","0,16",BRC0074R,Nome não encontrado
Ácidos graxos trans,g,,,BRC0074R,Nome não encontrado
Cálcio,mg,"54,9","7,13",BRC0074R,Nome não encontrado
Ferro,mg,"2,44","0,32",BRC0074R,Nome não encontrado
Sódio,mg,3635,472,BRC0074R,Nome não encontrado
Magnésio,mg,"37,9","4,93",BRC0074R,Nome não encontrado
Fósforo,mg,194,"25,3",BRC0074R,Nome não encontrado
Potássio,mg,305,"39,7",BRC0074R,Nome não encontrado
Manganês,mg,,,BRC0074R,Nome não encontrado
Zinco,mg,"1,65","0,21",BRC0074R,Nome não encontrado
Cobre,mg,,,BRC0074R,Nome não encontrado
Selênio,mcg,,,BRC0074R,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0074R,Nome não encontrado
Vitamina A (RAE),mcg,"6,88","0,89",BRC0074R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0074R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,04",BRC0074R,Nome não encontrado
Tiamina,mg,"0,57","0,07",BRC0074R,Nome não encontrado
Riboflavina,mg,"0,38","0,05",BRC0074R,Nome não encontrado
Niacina,mg,"4,87","0,63",BRC0074R,Nome não encontrado
Vitamina B6,mg,"0,24","0,03",BRC0074R,Nome não encontrado
Vitamina B12,mcg,"0,75","0,10",BRC0074R,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0074R,Nome não encontrado
Equivalente de folato,mcg,114,"14,9",BRC0074R,Nome não encontrado
Sal de adição,g,,,BRC0074R,Nome não encontrado
Açúcar de adição,g,,,BRC0074R,Nome não encontrado
Gordura de adição,g,,,BRC0074R,Nome não encontrado
Proteína vegetal,g,,,BRC0074R,Nome não encontrado
Proteína animal,g,,,BRC0074R,Nome não encontrado
