componente,unidade,Valor por 100g,Colher sopa cheia (15 g),codigo_alimento,nome_alimento
Energia,kJ,2101,315,BRC0039U,Nome não encontrado
Energia,kcal,509,76,BRC0039U,Nome não encontrado
Umidade,g,"5,74","0,86",BRC0039U,Nome não encontrado
Carboidrato total,g,"27,3","4,09",BRC0039U,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0039U,Nome não encontrado
Proteína,g,"24,4","3,67",BRC0039U,Nome não encontrado
Lipídios,g,"39,7","5,95",BRC0039U,Nome não encontrado
Fibra alimentar,g,"27,3","4,09",BRC0039U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0039U,Nome não encontrado
Cinzas,g,"2,91","0,44",BRC0039U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0039U,Nome não encontrado
Ácidos graxos saturados,g,"4,02","0,60",BRC0039U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"9,83","1,47",BRC0039U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"16,9","2,54",BRC0039U,Nome não encontrado
Ácidos graxos trans,g,"0,11","0,02",BRC0039U,Nome não encontrado
Cálcio,mg,232,"34,9",BRC0039U,Nome não encontrado
Ferro,mg,"5,85","0,88",BRC0039U,Nome não encontrado
Sódio,mg,"37,4","5,61",BRC0039U,Nome não encontrado
Magnésio,mg,376,"56,4",BRC0039U,Nome não encontrado
Fósforo,mg,562,"84,3",BRC0039U,Nome não encontrado
Potássio,mg,802,120,BRC0039U,Nome não encontrado
Manganês,mg,"2,43","0,36",BRC0039U,Nome não encontrado
Zinco,mg,"4,79","0,72",BRC0039U,Nome não encontrado
Cobre,mg,"1,36","0,20",BRC0039U,Nome não encontrado
Selênio,mcg,137,"20,6",BRC0039U,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0039U,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0039U,Nome não encontrado
Vitamina D,mcg,,,BRC0039U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0039U,Nome não encontrado
Tiamina,mg,"0,54","0,08",BRC0039U,Nome não encontrado
Riboflavina,mg,,,BRC0039U,Nome não encontrado
Niacina,mg,"3,80","0,57",BRC0039U,Nome não encontrado
Vitamina B6,mg,"0,40","0,06",BRC0039U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0039U,Nome não encontrado
Vitamina C,mg,,,BRC0039U,Nome não encontrado
Equivalente de folato,mcg,"41,5","6,22",BRC0039U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0039U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0039U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0039U,Nome não encontrado
Proteína vegetal,g,"24,4","3,67",BRC0039U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0039U,Nome não encontrado
