componente,unidade,Valor por 100g,Colher chá cheia (4 g),Colher chá rasa (2.5 g),Colher sobremesa cheia (13 g),Colher sobremesa rasa (7 g),Colher sopa cheia (20 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1604,64,40,208,112,320,160,BRC0094A,Nome não encontrado
Energia,kcal,378,15,9,49,26,75,37,BRC0094A,Nome não encontrado
Umidade,g,"4,70","0,19","0,12","0,61","0,33","0,94","0,47",BRC0094A,Nome não encontrado
Carboidrato total,g,"87,3","3,49","2,18","11,3","6,11","17,5","8,73",BRC0094A,Nome não encontrado
Carboidrato disponível,g,"84,1","3,36","2,10","10,9","5,88","16,8","8,41",BRC0094A,Nome não encontrado
Proteína,g,"6,43","0,26","0,16","0,84","0,45","1,29","0,64",BRC0094A,Nome não encontrado
Lipídios,g,"1,09","0,04","0,03","0,14","0,08","0,22","0,11",BRC0094A,Nome não encontrado
Fibra alimentar,g,"3,21","0,13","0,08","0,42","0,22","0,64","0,32",BRC0094A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0094A,Nome não encontrado
Cinzas,g,"0,51","0,02","0,01","0,07","0,04","0,10","0,05",BRC0094A,Nome não encontrado
Colesterol,mg,,,,,,,,BRC0094A,Nome não encontrado
Ácidos graxos saturados,g,"0,30","0,01","0,01","0,04","0,02","0,06","0,03",BRC0094A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,01","0,01","0,04","0,02","0,06","0,03",BRC0094A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,50","0,02","0,01","0,07","0,04","0,10","0,05",BRC0094A,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,traços,traços,traços,BRC0094A,Nome não encontrado
Cálcio,mg,218,"8,75","5,47","28,4","15,3","43,8","21,9",BRC0094A,Nome não encontrado
Ferro,mg,"3,03","0,12","0,08","0,39","0,21","0,61","0,30",BRC0094A,Nome não encontrado
Sódio,mg,399,"16,0","9,99","51,9","28,0","79,9","39,9",BRC0094A,Nome não encontrado
Magnésio,mg,"16,0","0,64","0,40","2,08","1,12","3,21","1,60",BRC0094A,Nome não encontrado
Fósforo,mg,169,"6,77","4,23","22,0","11,8","33,8","16,9",BRC0094A,Nome não encontrado
Potássio,mg,"82,0","3,28","2,05","10,7","5,74","16,4","8,20",BRC0094A,Nome não encontrado
Manganês,mg,"0,11","0,00","0,00","0,01","0,01","0,02","0,01",BRC0094A,Nome não encontrado
Zinco,mg,"0,36","0,01","0,01","0,05","0,03","0,07","0,04",BRC0094A,Nome não encontrado
Cobre,mg,"0,04","0,00","0,00","0,01","0,00","0,01","0,00",BRC0094A,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0094A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0094A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0094A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0094A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,91","0,04","0,02","0,12","0,06","0,18","0,09",BRC0094A,Nome não encontrado
Tiamina,mg,"3,72","0,15","0,09","0,48","0,26","0,74","0,37",BRC0094A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0094A,Nome não encontrado
Niacina,mg,"24,2","0,97","0,60","3,14","1,69","4,83","2,42",BRC0094A,Nome não encontrado
Vitamina B6,mg,"5,08","0,20","0,13","0,66","0,36","1,02","0,51",BRC0094A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0094A,Nome não encontrado
Vitamina C,mg,109,"4,37","2,73","14,2","7,66","21,9","10,9",BRC0094A,Nome não encontrado
Equivalente de folato,mcg,143,"5,76","3,60","18,7","10,1","28,8","14,4",BRC0094A,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0094A,Nome não encontrado
Açúcar de adição,g,,,,,,,,BRC0094A,Nome não encontrado
Gordura de adição,g,,,,,,,,BRC0094A,Nome não encontrado
Proteína vegetal,g,,,,,,,,BRC0094A,Nome não encontrado
Proteína animal,g,,,,,,,,BRC0094A,Nome não encontrado
