componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,465,278,209,464,BRC0423E,Nome não encontrado
Energia,kcal,111,66,49,110,BRC0423E,Nome não encontrado
Umidade,g,"77,2","46,3","34,7","77,2",BRC0423E,Nome não encontrado
Carboidrato total,g,"0,31","0,18","0,14","0,31",BRC0423E,Nome não encontrado
Carboidrato disponível,g,"0,21","0,12","0,09","0,21",BRC0423E,Nome não encontrado
Proteína,g,"16,4","9,84","7,38","16,4",BRC0423E,Nome não encontrado
Lipídios,g,"4,91","2,95","2,21","4,91",BRC0423E,Nome não encontrado
Fibra alimentar,g,"0,51","0,31","0,23","0,51",BRC0423E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0423E,Nome não encontrado
Cinzas,g,"1,21","0,73","0,54","1,21",BRC0423E,Nome não encontrado
Colesterol,mg,"62,5","37,5","28,1","62,5",BRC0423E,Nome não encontrado
Ácidos graxos saturados,g,"1,03","0,62","0,46","1,03",BRC0423E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,46","1,47","1,11","2,46",BRC0423E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,91","0,55","0,41","0,91",BRC0423E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00","0,01",BRC0423E,Nome não encontrado
Cálcio,mg,"15,4","9,23","6,92","15,4",BRC0423E,Nome não encontrado
Ferro,mg,"0,26","0,16","0,12","0,26",BRC0423E,Nome não encontrado
Sódio,mg,155,"93,3","70,0",155,BRC0423E,Nome não encontrado
Magnésio,mg,"25,2","15,1","11,3","25,2",BRC0423E,Nome não encontrado
Fósforo,mg,143,"86,2","64,7",143,BRC0423E,Nome não encontrado
Potássio,mg,305,183,137,305,BRC0423E,Nome não encontrado
Manganês,mg,"0,03","0,02","0,01","0,03",BRC0423E,Nome não encontrado
Zinco,mg,"0,29","0,18","0,13","0,29",BRC0423E,Nome não encontrado
Cobre,mg,"0,03","0,02","0,01","0,03",BRC0423E,Nome não encontrado
Selênio,mcg,"32,2","19,3","14,5","32,2",BRC0423E,Nome não encontrado
Vitamina A (RE),mcg,"68,8","41,3","31,0","68,8",BRC0423E,Nome não encontrado
Vitamina A (RAE),mcg,"55,2","33,1","24,8","55,2",BRC0423E,Nome não encontrado
Vitamina D,mcg,"3,71","2,23","1,67","3,71",BRC0423E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,12","0,67","0,50","1,12",BRC0423E,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01","0,03",BRC0423E,Nome não encontrado
Riboflavina,mg,"0,05","0,03","0,02","0,05",BRC0423E,Nome não encontrado
Niacina,mg,"2,84","1,71","1,28","2,84",BRC0423E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0423E,Nome não encontrado
Vitamina B12,mcg,"2,07","1,24","0,93","2,07",BRC0423E,Nome não encontrado
Vitamina C,mg,"4,07","2,44","1,83","4,07",BRC0423E,Nome não encontrado
Equivalente de folato,mcg,"14,4","8,62","6,46","14,4",BRC0423E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0423E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0423E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0423E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0423E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0423E,Nome não encontrado
