componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (15 g),codigo_alimento,nome_alimento
Energia,kJ,509,76,BRC0007L,Nome não encontrado
Energia,kcal,121,18,BRC0007L,Nome não encontrado
Umidade,g,"71,9","10,8",BRC0007L,Nome não encontrado
Carboidrato total,g,"7,70","1,15",BRC0007L,Nome não encontrado
Carboidrato disponível,g,"7,70","1,15",BRC0007L,Nome não encontrado
Proteína,g,"17,0","2,54",BRC0007L,Nome não encontrado
Lipídios,g,"1,52","0,23",BRC0007L,Nome não encontrado
Fibra alimentar,g,"4,17","0,62",BRC0007L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0007L,Nome não encontrado
Cinzas,g,"1,93","0,29",BRC0007L,Nome não encontrado
Colesterol,mg,,,BRC0007L,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,03",BRC0007L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,84","0,13",BRC0007L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0007L,Nome não encontrado
Ácidos graxos trans,g,-,-,BRC0007L,Nome não encontrado
Cálcio,mg,"18,0","2,70",BRC0007L,Nome não encontrado
Ferro,mg,"2,62","0,39",BRC0007L,Nome não encontrado
Sódio,mg,"39,6","5,94",BRC0007L,Nome não encontrado
Magnésio,mg,"38,4","5,77",BRC0007L,Nome não encontrado
Fósforo,mg,418,"62,8",BRC0007L,Nome não encontrado
Potássio,mg,576,"86,4",BRC0007L,Nome não encontrado
Manganês,mg,"0,20","0,03",BRC0007L,Nome não encontrado
Zinco,mg,"11,0","1,65",BRC0007L,Nome não encontrado
Cobre,mg,"0,29","0,04",BRC0007L,Nome não encontrado
Selênio,mcg,,,BRC0007L,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0007L,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0007L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0007L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0007L,Nome não encontrado
Tiamina,mg,"0,30","0,05",BRC0007L,Nome não encontrado
Riboflavina,mg,"0,36","0,05",BRC0007L,Nome não encontrado
Niacina,mg,traços,traços,BRC0007L,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0007L,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00",BRC0007L,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0007L,Nome não encontrado
Equivalente de folato,mcg,711,106,BRC0007L,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0007L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0007L,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0007L,Nome não encontrado
Proteína vegetal,g,"17,0","2,54",BRC0007L,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0007L,Nome não encontrado
