componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,416,208,457,374,BRC0598A,Nome não encontrado
Energia,kcal,99,49,108,88,BRC0598A,Nome não encontrado
Umidade,g,"74,4","37,2","81,8","66,9",BRC0598A,Nome não encontrado
Carboidrato total,g,"19,9","9,94","21,9","17,9",BRC0598A,Nome não encontrado
Carboidrato disponível,g,"16,8","8,39","18,5","15,1",BRC0598A,Nome não encontrado
Proteína,g,"3,82","1,91","4,20","3,44",BRC0598A,Nome não encontrado
Lipídios,g,"1,11","0,56","1,22","1,00",BRC0598A,Nome não encontrado
Fibra alimentar,g,"3,09","1,55","3,40","2,78",BRC0598A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0598A,Nome não encontrado
Cinzas,g,"0,81","0,40","0,89","0,72",BRC0598A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0598A,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,11","0,25","0,21",BRC0598A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,10","0,22","0,18",BRC0598A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,56","0,28","0,62","0,51",BRC0598A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01","0,01",BRC0598A,Nome não encontrado
Cálcio,mg,"12,3","6,15","13,5","11,1",BRC0598A,Nome não encontrado
Ferro,mg,"0,41","0,21","0,45","0,37",BRC0598A,Nome não encontrado
Sódio,mg,189,"94,7",208,170,BRC0598A,Nome não encontrado
Magnésio,mg,"11,9","5,95","13,1","10,7",BRC0598A,Nome não encontrado
Fósforo,mg,"41,6","20,8","45,8","37,5",BRC0598A,Nome não encontrado
Potássio,mg,"81,0","40,5","89,1","72,9",BRC0598A,Nome não encontrado
Manganês,mg,"0,22","0,11","0,24","0,19",BRC0598A,Nome não encontrado
Zinco,mg,"0,34","0,17","0,37","0,30",BRC0598A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,07","0,06",BRC0598A,Nome não encontrado
Selênio,mcg,"1,88","0,94","2,07","1,70",BRC0598A,Nome não encontrado
Vitamina A (RE),mcg,"67,3","33,7","74,1","60,6",BRC0598A,Nome não encontrado
Vitamina A (RAE),mcg,"33,7","16,8","37,0","30,3",BRC0598A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0598A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,46","0,23","0,51","0,41",BRC0598A,Nome não encontrado
Tiamina,mg,"0,08","0,04","0,08","0,07",BRC0598A,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,05","0,04",BRC0598A,Nome não encontrado
Niacina,mg,"1,46","0,73","1,61","1,32",BRC0598A,Nome não encontrado
Vitamina B6,mg,"0,07","0,03","0,07","0,06",BRC0598A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0598A,Nome não encontrado
Vitamina C,mg,"17,2","8,60","18,9","15,5",BRC0598A,Nome não encontrado
Equivalente de folato,mcg,"20,7","10,4","22,8","18,7",BRC0598A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42",BRC0598A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0598A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0598A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0598A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0598A,Nome não encontrado
