componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,57,11,28,BRC0079B,Nome não encontrado
Energia,kcal,14,2,6,BRC0079B,Nome não encontrado
Umidade,g,"95,1","19,0","47,5",BRC0079B,Nome não encontrado
Carboidrato total,g,"3,00","0,60","1,50",BRC0079B,Nome não encontrado
Carboidrato disponível,g,"1,20","0,24","0,60",BRC0079B,Nome não encontrado
Proteína,g,"1,13","0,23","0,56",BRC0079B,Nome não encontrado
Lipídios,g,"0,08","0,02","0,04",BRC0079B,Nome não encontrado
Fibra alimentar,g,"1,81","0,36","0,90",BRC0079B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0079B,Nome não encontrado
Cinzas,g,"0,71","0,14","0,35",BRC0079B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0079B,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,01","0,01",BRC0079B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00","0,01",BRC0079B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,04","0,01","0,02",BRC0079B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0079B,Nome não encontrado
Cálcio,mg,"20,6","4,13","10,3",BRC0079B,Nome não encontrado
Ferro,mg,"0,35","0,07","0,17",BRC0079B,Nome não encontrado
Sódio,mg,"10,9","2,19","5,47",BRC0079B,Nome não encontrado
Magnésio,mg,"8,91","1,78","4,45",BRC0079B,Nome não encontrado
Fósforo,mg,"24,9","4,97","12,4",BRC0079B,Nome não encontrado
Potássio,mg,326,"65,2",163,BRC0079B,Nome não encontrado
Manganês,mg,"0,07","0,01","0,04",BRC0079B,Nome não encontrado
Zinco,mg,"0,18","0,04","0,09",BRC0079B,Nome não encontrado
Cobre,mg,"0,02","0,00","0,01",BRC0079B,Nome não encontrado
Selênio,mcg,"0,10","0,02","0,05",BRC0079B,Nome não encontrado
Vitamina A (RE),mcg,"0,51","0,10","0,26",BRC0079B,Nome não encontrado
Vitamina A (RAE),mcg,"0,26","0,05","0,13",BRC0079B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0079B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0079B,Nome não encontrado
Tiamina,mg,"0,06","0,01","0,03",BRC0079B,Nome não encontrado
Riboflavina,mg,"0,02","0,00","0,01",BRC0079B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0079B,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,02",BRC0079B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0079B,Nome não encontrado
Vitamina C,mg,"9,59","1,92","4,79",BRC0079B,Nome não encontrado
Equivalente de folato,mcg,"26,0","5,19","13,0",BRC0079B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0079B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0079B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0079B,Nome não encontrado
Proteína vegetal,g,"1,13","0,23","0,56",BRC0079B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0079B,Nome não encontrado
