componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,579,347,260,578,BRC0401E,Nome não encontrado
Energia,kcal,138,82,62,137,BRC0401E,Nome não encontrado
Umidade,g,"71,1","42,7","32,0","71,1",BRC0401E,Nome não encontrado
Carboidrato total,g,"0,71","0,43","0,32","0,71",BRC0401E,Nome não encontrado
Carboidrato disponível,g,"0,21","0,12","0,09","0,21",BRC0401E,Nome não encontrado
Proteína,g,"21,1","12,7","9,49","21,1",BRC0401E,Nome não encontrado
Lipídios,g,"5,75","3,45","2,59","5,75",BRC0401E,Nome não encontrado
Fibra alimentar,g,"0,51","0,30","0,23","0,51",BRC0401E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0401E,Nome não encontrado
Cinzas,g,"1,36","0,82","0,61","1,36",BRC0401E,Nome não encontrado
Colesterol,mg,"55,2","33,1","24,8","55,2",BRC0401E,Nome não encontrado
Ácidos graxos saturados,g,"1,22","0,73","0,55","1,22",BRC0401E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,29","0,77","0,58","1,29",BRC0401E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,02","1,81","1,36","3,02",BRC0401E,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01","0,03",BRC0401E,Nome não encontrado
Cálcio,mg,"29,7","17,8","13,4","29,7",BRC0401E,Nome não encontrado
Ferro,mg,"0,50","0,30","0,22","0,50",BRC0401E,Nome não encontrado
Sódio,mg,"70,7","42,4","31,8","70,7",BRC0401E,Nome não encontrado
Magnésio,mg,"28,7","17,2","12,9","28,7",BRC0401E,Nome não encontrado
Fósforo,mg,224,134,101,224,BRC0401E,Nome não encontrado
Potássio,mg,386,232,174,386,BRC0401E,Nome não encontrado
Manganês,mg,"0,08","0,05","0,04","0,08",BRC0401E,Nome não encontrado
Zinco,mg,"0,74","0,44","0,33","0,74",BRC0401E,Nome não encontrado
Cobre,mg,"0,07","0,04","0,03","0,07",BRC0401E,Nome não encontrado
Selênio,mcg,"36,1","21,7","16,2","36,1",BRC0401E,Nome não encontrado
Vitamina A (RE),mcg,"24,7","14,8","11,1","24,7",BRC0401E,Nome não encontrado
Vitamina A (RAE),mcg,"14,6","8,74","6,55","14,6",BRC0401E,Nome não encontrado
Vitamina D,mcg,"0,67","0,40","0,30","0,67",BRC0401E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,77","0,46","0,34","0,77",BRC0401E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01","0,02",BRC0401E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,01",BRC0401E,Nome não encontrado
Niacina,mg,"1,20","0,72","0,54","1,20",BRC0401E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0401E,Nome não encontrado
Vitamina B12,mcg,"2,30","1,38","1,03","2,30",BRC0401E,Nome não encontrado
Vitamina C,mg,"9,35","5,61","4,21","9,35",BRC0401E,Nome não encontrado
Equivalente de folato,mcg,"16,0","9,60","7,20","16,0",BRC0401E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0401E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0401E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0401E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0401E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0401E,Nome não encontrado
