componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,394,236,BRC0703A,Nome não encontrado
Energia,kcal,93,56,BRC0703A,Nome não encontrado
Umidade,g,"77,3","46,4",BRC0703A,Nome não encontrado
Carboidrato total,g,"12,5","7,51",BRC0703A,Nome não encontrado
Carboidrato disponível,g,"11,5","6,91",BRC0703A,Nome não encontrado
Proteína,g,"7,45","4,47",BRC0703A,Nome não encontrado
Lipídios,g,"1,70","1,02",BRC0703A,Nome não encontrado
Fibra alimentar,g,"1,00","0,60",BRC0703A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0703A,Nome não encontrado
Cinzas,g,"1,06","0,63",BRC0703A,Nome não encontrado
Colesterol,mg,"72,3","43,4",BRC0703A,Nome não encontrado
Ácidos graxos saturados,g,"0,33","0,20",BRC0703A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,36","0,21",BRC0703A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,82","0,49",BRC0703A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0703A,Nome não encontrado
Cálcio,mg,"37,9","22,8",BRC0703A,Nome não encontrado
Ferro,mg,"1,05","0,63",BRC0703A,Nome não encontrado
Sódio,mg,277,166,BRC0703A,Nome não encontrado
Magnésio,mg,"12,5","7,53",BRC0703A,Nome não encontrado
Fósforo,mg,"99,4","59,6",BRC0703A,Nome não encontrado
Potássio,mg,118,"71,3",BRC0703A,Nome não encontrado
Manganês,mg,"0,14","0,08",BRC0703A,Nome não encontrado
Zinco,mg,"0,53","0,32",BRC0703A,Nome não encontrado
Cobre,mg,"0,16","0,10",BRC0703A,Nome não encontrado
Selênio,mcg,"13,0","7,78",BRC0703A,Nome não encontrado
Vitamina A (RE),mcg,"9,54","5,72",BRC0703A,Nome não encontrado
Vitamina A (RAE),mcg,"8,42","5,05",BRC0703A,Nome não encontrado
Vitamina D,mcg,"0,02","0,01",BRC0703A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,74","0,44",BRC0703A,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0703A,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0703A,Nome não encontrado
Niacina,mg,"0,57","0,34",BRC0703A,Nome não encontrado
Vitamina B6,mg,"0,06","0,03",BRC0703A,Nome não encontrado
Vitamina B12,mcg,"0,48","0,29",BRC0703A,Nome não encontrado
Vitamina C,mg,"4,51","2,70",BRC0703A,Nome não encontrado
Equivalente de folato,mcg,"16,7","10,0",BRC0703A,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0703A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0703A,Nome não encontrado
Gordura de adição,g,-,-,BRC0703A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0703A,Nome não encontrado
Proteína animal,g,-,-,BRC0703A,Nome não encontrado
