componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,348,69,452,BRC0666A,Nome não encontrado
Energia,kcal,83,16,107,BRC0666A,Nome não encontrado
Umidade,g,"81,2","16,2",105,BRC0666A,Nome não encontrado
Carboidrato total,g,"10,7","2,14","13,9",BRC0666A,Nome não encontrado
Carboidrato disponível,g,"9,40","1,88","12,2",BRC0666A,Nome não encontrado
Proteína,g,"3,65","0,73","4,74",BRC0666A,Nome não encontrado
Lipídios,g,"3,13","0,63","4,06",BRC0666A,Nome não encontrado
Fibra alimentar,g,"1,30","0,26","1,68",BRC0666A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0666A,Nome não encontrado
Cinzas,g,"1,36","0,27","1,77",BRC0666A,Nome não encontrado
Colesterol,mg,"6,46","1,29","8,40",BRC0666A,Nome não encontrado
Ácidos graxos saturados,g,"0,89","0,18","1,16",BRC0666A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,22","0,24","1,59",BRC0666A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,84","0,17","1,10",BRC0666A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,01",BRC0666A,Nome não encontrado
Cálcio,mg,"39,0","7,80","50,7",BRC0666A,Nome não encontrado
Ferro,mg,"0,83","0,17","1,08",BRC0666A,Nome não encontrado
Sódio,mg,445,"89,2",579,BRC0666A,Nome não encontrado
Magnésio,mg,"10,3","2,06","13,4",BRC0666A,Nome não encontrado
Fósforo,mg,"29,9","5,98","38,9",BRC0666A,Nome não encontrado
Potássio,mg,166,"33,4",216,BRC0666A,Nome não encontrado
Manganês,mg,"0,06","0,01","0,07",BRC0666A,Nome não encontrado
Zinco,mg,"0,29","0,06","0,38",BRC0666A,Nome não encontrado
Cobre,mg,"0,04","0,01","0,05",BRC0666A,Nome não encontrado
Selênio,mcg,"0,68","0,14","0,88",BRC0666A,Nome não encontrado
Vitamina A (RE),mcg,"95,1","19,0",123,BRC0666A,Nome não encontrado
Vitamina A (RAE),mcg,"47,9","9,58","62,2",BRC0666A,Nome não encontrado
Vitamina D,mcg,"0,08","0,02","0,11",BRC0666A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,06","0,41",BRC0666A,Nome não encontrado
Tiamina,mg,"0,06","0,01","0,08",BRC0666A,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,06",BRC0666A,Nome não encontrado
Niacina,mg,"0,65","0,13","0,85",BRC0666A,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0666A,Nome não encontrado
Vitamina B12,mcg,"0,15","0,03","0,20",BRC0666A,Nome não encontrado
Vitamina C,mg,"5,82","1,16","7,56",BRC0666A,Nome não encontrado
Equivalente de folato,mcg,"29,0","5,80","37,7",BRC0666A,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0666A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0666A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0666A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0666A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0666A,Nome não encontrado
