componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,18,43,29,BRC0133C,Nome não encontrado
Energia,kcal,4,10,7,BRC0133C,Nome não encontrado
Umidade,g,"98,9",237,163,BRC0133C,Nome não encontrado
Carboidrato total,g,"0,96","2,31","1,59",BRC0133C,Nome não encontrado
Carboidrato disponível,g,"0,93","2,23","1,53",BRC0133C,Nome não encontrado
Proteína,g,"0,08","0,18","0,13",BRC0133C,Nome não encontrado
Lipídios,g,"0,02","0,05","0,03",BRC0133C,Nome não encontrado
Fibra alimentar,g,"0,04","0,08","0,06",BRC0133C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0133C,Nome não encontrado
Cinzas,g,"0,05","0,11","0,08",BRC0133C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0133C,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,BRC0133C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0133C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02","0,01",BRC0133C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0133C,Nome não encontrado
Cálcio,mg,"0,42","1,00","0,69",BRC0133C,Nome não encontrado
Ferro,mg,"0,03","0,08","0,06",BRC0133C,Nome não encontrado
Sódio,mg,"2,17","5,21","3,58",BRC0133C,Nome não encontrado
Magnésio,mg,"0,42","1,00","0,69",BRC0133C,Nome não encontrado
Fósforo,mg,"1,39","3,34","2,29",BRC0133C,Nome não encontrado
Potássio,mg,"20,1","48,2","33,1",BRC0133C,Nome não encontrado
Manganês,mg,"0,01","0,02","0,01",BRC0133C,Nome não encontrado
Zinco,mg,"0,01","0,03","0,02",BRC0133C,Nome não encontrado
Cobre,mg,"0,01","0,01","0,01",BRC0133C,Nome não encontrado
Selênio,mcg,"0,05","0,12","0,09",BRC0133C,Nome não encontrado
Vitamina A (RE),mcg,"10,8","26,0","17,9",BRC0133C,Nome não encontrado
Vitamina A (RAE),mcg,"5,42","13,0","8,94",BRC0133C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0133C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,01","0,01",BRC0133C,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0133C,Nome não encontrado
Riboflavina,mg,"0,01","0,02","0,01",BRC0133C,Nome não encontrado
Niacina,mg,"0,19","0,46","0,32",BRC0133C,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01",BRC0133C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0133C,Nome não encontrado
Vitamina C,mg,"1,37","3,28","2,26",BRC0133C,Nome não encontrado
Equivalente de folato,mcg,"0,92","2,21","1,52",BRC0133C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0133C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0133C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0133C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0133C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0133C,Nome não encontrado
