componente,unidade,Valor por 100g,Colher sopa rasa (13 g),codigo_alimento,nome_alimento
Energia,kJ,1471,191,BRC0067R,Nome não encontrado
Energia,kcal,348,45,BRC0067R,Nome não encontrado
Umidade,g,"4,89","0,64",BRC0067R,Nome não encontrado
Carboidrato total,g,"63,4","8,24",BRC0067R,Nome não encontrado
Carboidrato disponível,g,"63,4","8,24",BRC0067R,Nome não encontrado
Proteína,g,"11,6","1,51",BRC0067R,Nome não encontrado
Lipídios,g,"5,30","0,69",BRC0067R,Nome não encontrado
Fibra alimentar,g,,,BRC0067R,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0067R,Nome não encontrado
Cinzas,g,"14,8","1,92",BRC0067R,Nome não encontrado
Colesterol,mg,"60,2","7,83",BRC0067R,Nome não encontrado
Ácidos graxos saturados,g,"1,60","0,21",BRC0067R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,85","0,24",BRC0067R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,14","0,15",BRC0067R,Nome não encontrado
Ácidos graxos trans,g,,,BRC0067R,Nome não encontrado
Cálcio,mg,"55,0","7,15",BRC0067R,Nome não encontrado
Ferro,mg,"2,44","0,32",BRC0067R,Nome não encontrado
Sódio,mg,3644,473,BRC0067R,Nome não encontrado
Magnésio,mg,"38,0","4,94",BRC0067R,Nome não encontrado
Fósforo,mg,195,"25,4",BRC0067R,Nome não encontrado
Potássio,mg,306,"39,8",BRC0067R,Nome não encontrado
Manganês,mg,,,BRC0067R,Nome não encontrado
Zinco,mg,"1,65","0,21",BRC0067R,Nome não encontrado
Cobre,mg,,,BRC0067R,Nome não encontrado
Selênio,mcg,,,BRC0067R,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0067R,Nome não encontrado
Vitamina A (RAE),mcg,"6,51","0,85",BRC0067R,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0067R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27","0,03",BRC0067R,Nome não encontrado
Tiamina,mg,"0,58","0,07",BRC0067R,Nome não encontrado
Riboflavina,mg,"0,38","0,05",BRC0067R,Nome não encontrado
Niacina,mg,"4,88","0,63",BRC0067R,Nome não encontrado
Vitamina B6,mg,"0,24","0,03",BRC0067R,Nome não encontrado
Vitamina B12,mcg,"0,75","0,10",BRC0067R,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0067R,Nome não encontrado
Equivalente de folato,mcg,115,"15,0",BRC0067R,Nome não encontrado
Sal de adição,g,,,BRC0067R,Nome não encontrado
Açúcar de adição,g,,,BRC0067R,Nome não encontrado
Gordura de adição,g,,,BRC0067R,Nome não encontrado
Proteína vegetal,g,,,BRC0067R,Nome não encontrado
Proteína animal,g,,,BRC0067R,Nome não encontrado
