componente,unidade,Valor por 100g,Colher sopa cheia (33 g),Colher sopa rasa (24 g),codigo_alimento,nome_alimento
Energia,kJ,485,160,116,BRC0031T,Nome não encontrado
Energia,kcal,115,38,27,BRC0031T,Nome não encontrado
Umidade,g,"69,0","22,8","16,6",BRC0031T,Nome não encontrado
Carboidrato total,g,"21,5","7,11","5,17",BRC0031T,Nome não encontrado
Carboidrato disponível,g,"16,0","5,29","3,85",BRC0031T,Nome não encontrado
Proteína,g,"6,20","2,05","1,49",BRC0031T,Nome não encontrado
Lipídios,g,"1,70","0,56","0,41",BRC0031T,Nome não encontrado
Fibra alimentar,g,"5,50","1,82","1,32",BRC0031T,Nome não encontrado
Álcool,g,,,,BRC0031T,Nome não encontrado
Cinzas,g,"1,56","0,51","0,37",BRC0031T,Nome não encontrado
Colesterol,mg,,,,BRC0031T,Nome não encontrado
Ácidos graxos saturados,g,"0,28","0,09","0,07",BRC0031T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,44","0,14","0,11",BRC0031T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,88","0,29","0,21",BRC0031T,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0031T,Nome não encontrado
Cálcio,mg,"40,4","13,3","9,70",BRC0031T,Nome não encontrado
Ferro,mg,"1,90","0,63","0,46",BRC0031T,Nome não encontrado
Sódio,mg,"1,84","0,61","0,44",BRC0031T,Nome não encontrado
Magnésio,mg,"51,7","17,1","12,4",BRC0031T,Nome não encontrado
Fósforo,mg,120,"39,9","29,0",BRC0031T,Nome não encontrado
Potássio,mg,394,130,"94,6",BRC0031T,Nome não encontrado
Manganês,mg,"1,12","0,37","0,27",BRC0031T,Nome não encontrado
Zinco,mg,"1,13","0,37","0,27",BRC0031T,Nome não encontrado
Cobre,mg,"0,24","0,08","0,06",BRC0031T,Nome não encontrado
Selênio,mcg,,,,BRC0031T,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0031T,Nome não encontrado
Vitamina A (RAE),mcg,"0,87","0,29","0,21",BRC0031T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0031T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,05","0,04",BRC0031T,Nome não encontrado
Tiamina,mg,"0,18","0,06","0,04",BRC0031T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0031T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0031T,Nome não encontrado
Vitamina B6,mg,"0,27","0,09","0,06",BRC0031T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0031T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0031T,Nome não encontrado
Equivalente de folato,mcg,"36,1","11,9","8,67",BRC0031T,Nome não encontrado
Sal de adição,g,,,,BRC0031T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0031T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0031T,Nome não encontrado
Proteína vegetal,g,"6,20","2,05","1,49",BRC0031T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0031T,Nome não encontrado
