componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,642,385,288,641,BRC0405E,Nome não encontrado
Energia,kcal,153,92,69,153,BRC0405E,Nome não encontrado
Umidade,g,"70,0","42,0","31,5","70,0",BRC0405E,Nome não encontrado
Carboidrato total,g,"1,09","0,65","0,49","1,09",BRC0405E,Nome não encontrado
Carboidrato disponível,g,"0,58","0,35","0,26","0,58",BRC0405E,Nome não encontrado
Proteína,g,"19,4","11,6","8,72","19,4",BRC0405E,Nome não encontrado
Lipídios,g,"8,07","4,84","3,63","8,07",BRC0405E,Nome não encontrado
Fibra alimentar,g,"0,51","0,30","0,23","0,51",BRC0405E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0405E,Nome não encontrado
Cinzas,g,"1,43","0,86","0,64","1,43",BRC0405E,Nome não encontrado
Colesterol,mg,"64,4","38,6","29,0","64,4",BRC0405E,Nome não encontrado
Ácidos graxos saturados,g,"1,81","1,09","0,82","1,81",BRC0405E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,26","1,36","1,02","2,26",BRC0405E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,72","2,23","1,67","3,72",BRC0405E,Nome não encontrado
Ácidos graxos trans,g,-,-,-,-,BRC0405E,Nome não encontrado
Cálcio,mg,"64,0","38,4","28,8","64,0",BRC0405E,Nome não encontrado
Ferro,mg,"0,59","0,35","0,27","0,59",BRC0405E,Nome não encontrado
Sódio,mg,"89,8","53,9","40,4","89,8",BRC0405E,Nome não encontrado
Magnésio,mg,"29,9","18,0","13,5","29,9",BRC0405E,Nome não encontrado
Fósforo,mg,230,138,103,230,BRC0405E,Nome não encontrado
Potássio,mg,377,226,170,377,BRC0405E,Nome não encontrado
Manganês,mg,"0,06","0,04","0,03","0,06",BRC0405E,Nome não encontrado
Zinco,mg,"0,54","0,32","0,24","0,54",BRC0405E,Nome não encontrado
Cobre,mg,"0,13","0,08","0,06","0,13",BRC0405E,Nome não encontrado
Selênio,mcg,"36,8","22,1","16,6","36,8",BRC0405E,Nome não encontrado
Vitamina A (RE),mcg,"32,9","19,7","14,8","32,9",BRC0405E,Nome não encontrado
Vitamina A (RAE),mcg,"22,8","13,7","10,2","22,8",BRC0405E,Nome não encontrado
Vitamina D,mcg,"2,21","1,32","0,99","2,21",BRC0405E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,35","0,81","0,61","1,35",BRC0405E,Nome não encontrado
Tiamina,mg,"0,11","0,06","0,05","0,11",BRC0405E,Nome não encontrado
Riboflavina,mg,"0,06","0,03","0,02","0,06",BRC0405E,Nome não encontrado
Niacina,mg,"3,72","2,23","1,67","3,72",BRC0405E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0405E,Nome não encontrado
Vitamina B12,mcg,"2,88","1,73","1,30","2,88",BRC0405E,Nome não encontrado
Vitamina C,mg,"9,35","5,61","4,21","9,35",BRC0405E,Nome não encontrado
Equivalente de folato,mcg,"14,5","8,68","6,51","14,5",BRC0405E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0405E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0405E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0405E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0405E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0405E,Nome não encontrado
