componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,195,107,58,BRC0095B,Nome não encontrado
Energia,kcal,46,25,13,BRC0095B,Nome não encontrado
Umidade,g,"85,9","47,2","25,8",BRC0095B,Nome não encontrado
Carboidrato total,g,"9,33","5,13","2,80",BRC0095B,Nome não encontrado
Carboidrato disponível,g,"6,39","3,51","1,92",BRC0095B,Nome não encontrado
Proteína,g,"3,11","1,71","0,93",BRC0095B,Nome não encontrado
Lipídios,g,"0,28","0,15","0,08",BRC0095B,Nome não encontrado
Fibra alimentar,g,"2,95","1,62","0,88",BRC0095B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0095B,Nome não encontrado
Cinzas,g,"1,40","0,77","0,42",BRC0095B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0095B,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,05","0,03",BRC0095B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,17","0,10","0,05",BRC0095B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,17","0,09","0,05",BRC0095B,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,BRC0095B,Nome não encontrado
Cálcio,mg,"12,8","7,03","3,83",BRC0095B,Nome não encontrado
Ferro,mg,"0,84","0,46","0,25",BRC0095B,Nome não encontrado
Sódio,mg,314,173,"94,5",BRC0095B,Nome não encontrado
Magnésio,mg,"12,3","6,79","3,70",BRC0095B,Nome não encontrado
Fósforo,mg,"38,8","21,3","11,6",BRC0095B,Nome não encontrado
Potássio,mg,"96,7","53,2","29,0",BRC0095B,Nome não encontrado
Manganês,mg,"0,10","0,06","0,03",BRC0095B,Nome não encontrado
Zinco,mg,"0,42","0,23","0,13",BRC0095B,Nome não encontrado
Cobre,mg,"0,07","0,04","0,02",BRC0095B,Nome não encontrado
Selênio,mcg,,,,BRC0095B,Nome não encontrado
Vitamina A (RE),mcg,245,135,"73,7",BRC0095B,Nome não encontrado
Vitamina A (RAE),mcg,122,"67,5","36,8",BRC0095B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0095B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0095B,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01",BRC0095B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0095B,Nome não encontrado
Niacina,mg,"2,94","1,62","0,88",BRC0095B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0095B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0095B,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0095B,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0095B,Nome não encontrado
Sal de adição,g,,,,BRC0095B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0095B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0095B,Nome não encontrado
Proteína vegetal,g,"3,11","1,71","0,93",BRC0095B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0095B,Nome não encontrado
