componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,373,894,614,BRC0116H,Nome não encontrado
Energia,kcal,90,215,147,BRC0116H,Nome não encontrado
Umidade,g,"85,7",205,141,BRC0116H,Nome não encontrado
Carboidrato total,g,"2,91","6,97","4,79",BRC0116H,Nome não encontrado
Carboidrato disponível,g,"2,91","6,97","4,79",BRC0116H,Nome não encontrado
Proteína,g,"0,08","0,18","0,13",BRC0116H,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Álcool,g,"11,1","26,6","18,3",BRC0116H,Nome não encontrado
Cinzas,g,"0,22","0,52","0,36",BRC0116H,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Cálcio,mg,"8,65","20,8","14,3",BRC0116H,Nome não encontrado
Ferro,mg,"0,49","1,18","0,81",BRC0116H,Nome não encontrado
Sódio,mg,"4,09","9,82","6,75",BRC0116H,Nome não encontrado
Magnésio,mg,"6,31","15,1","10,4",BRC0116H,Nome não encontrado
Fósforo,mg,"8,61","20,7","14,2",BRC0116H,Nome não encontrado
Potássio,mg,"64,6",155,106,BRC0116H,Nome não encontrado
Manganês,mg,"0,22","0,53","0,36",BRC0116H,Nome não encontrado
Zinco,mg,"0,10","0,24","0,17",BRC0116H,Nome não encontrado
Cobre,mg,"0,04","0,10","0,07",BRC0116H,Nome não encontrado
Selênio,mcg,"0,11","0,26","0,18",BRC0116H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,01",BRC0116H,Nome não encontrado
Riboflavina,mg,"0,02","0,04","0,03",BRC0116H,Nome não encontrado
Niacina,mg,"0,12","0,28","0,19",BRC0116H,Nome não encontrado
Vitamina B6,mg,"0,05","0,13","0,09",BRC0116H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Equivalente de folato,mcg,"1,09","2,61","1,80",BRC0116H,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
Açúcar de adição,g,,,,BRC0116H,Nome não encontrado
Gordura de adição,g,,,,BRC0116H,Nome não encontrado
Proteína vegetal,g,"0,08","0,18","0,13",BRC0116H,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0116H,Nome não encontrado
