componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Concha cheia (100 g),codigo_alimento,nome_alimento
Energia,kJ,706,176,705,BRC0224F,Nome não encontrado
Energia,kcal,169,42,169,BRC0224F,Nome não encontrado
Umidade,g,"70,1","17,5","70,1",BRC0224F,Nome não encontrado
Carboidrato total,g,"2,98","0,74","2,98",BRC0224F,Nome não encontrado
Carboidrato disponível,g,"2,98","0,74","2,98",BRC0224F,Nome não encontrado
Proteína,g,"15,0","3,76","15,0",BRC0224F,Nome não encontrado
Lipídios,g,"10,8","2,70","10,8",BRC0224F,Nome não encontrado
Fibra alimentar,g,,,,BRC0224F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0224F,Nome não encontrado
Cinzas,g,"1,06","0,27","1,06",BRC0224F,Nome não encontrado
Colesterol,mg,"66,2","16,6","66,2",BRC0224F,Nome não encontrado
Ácidos graxos saturados,g,"5,26","1,31","5,26",BRC0224F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,32","0,83","3,32",BRC0224F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,86","0,21","0,86",BRC0224F,Nome não encontrado
Ácidos graxos trans,g,"0,27","0,07","0,27",BRC0224F,Nome não encontrado
Cálcio,mg,"28,3","7,08","28,3",BRC0224F,Nome não encontrado
Ferro,mg,"2,70","0,67","2,70",BRC0224F,Nome não encontrado
Sódio,mg,122,"30,7",122,BRC0224F,Nome não encontrado
Magnésio,mg,"21,5","5,38","21,5",BRC0224F,Nome não encontrado
Fósforo,mg,185,"46,4",185,BRC0224F,Nome não encontrado
Potássio,mg,322,"80,6",322,BRC0224F,Nome não encontrado
Manganês,mg,"0,03","0,01","0,03",BRC0224F,Nome não encontrado
Zinco,mg,"2,04","0,51","2,04",BRC0224F,Nome não encontrado
Cobre,mg,"0,14","0,04","0,14",BRC0224F,Nome não encontrado
Selênio,mcg,,,,BRC0224F,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0224F,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0224F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0224F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,96","0,24","0,96",BRC0224F,Nome não encontrado
Tiamina,mg,"0,06","0,02","0,06",BRC0224F,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,05",BRC0224F,Nome não encontrado
Niacina,mg,"3,25","0,81","3,25",BRC0224F,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0224F,Nome não encontrado
Vitamina B12,mcg,"0,22","0,06","0,22",BRC0224F,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0224F,Nome não encontrado
Equivalente de folato,mcg,"62,9","15,7","62,9",BRC0224F,Nome não encontrado
Sal de adição,g,,,,BRC0224F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0224F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0224F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0224F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0224F,Nome não encontrado
