componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,249,49,324,BRC0667A,Nome não encontrado
Energia,kcal,59,11,76,BRC0667A,Nome não encontrado
Umidade,g,"85,4","17,1",110,BRC0667A,Nome não encontrado
Carboidrato total,g,"10,9","2,17","14,1",BRC0667A,Nome não encontrado
Carboidrato disponível,g,"9,40","1,88","12,2",BRC0667A,Nome não encontrado
Proteína,g,"2,06","0,41","2,68",BRC0667A,Nome não encontrado
Lipídios,g,"1,16","0,23","1,51",BRC0667A,Nome não encontrado
Fibra alimentar,g,"1,46","0,29","1,89",BRC0667A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0667A,Nome não encontrado
Cinzas,g,"0,56","0,11","0,73",BRC0667A,Nome não encontrado
Colesterol,mg,"1,31","0,26","1,70",BRC0667A,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,04","0,27",BRC0667A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,06","0,39",BRC0667A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,64","0,13","0,83",BRC0667A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,01",BRC0667A,Nome não encontrado
Cálcio,mg,"50,3","10,1","65,4",BRC0667A,Nome não encontrado
Ferro,mg,"0,77","0,15","1,00",BRC0667A,Nome não encontrado
Sódio,mg,174,"35,0",227,BRC0667A,Nome não encontrado
Magnésio,mg,"11,3","2,26","14,7",BRC0667A,Nome não encontrado
Fósforo,mg,"22,1","4,42","28,7",BRC0667A,Nome não encontrado
Potássio,mg,179,"35,9",233,BRC0667A,Nome não encontrado
Manganês,mg,"0,07","0,01","0,09",BRC0667A,Nome não encontrado
Zinco,mg,"0,10","0,02","0,13",BRC0667A,Nome não encontrado
Cobre,mg,"0,04","0,01","0,05",BRC0667A,Nome não encontrado
Selênio,mcg,"0,72","0,14","0,94",BRC0667A,Nome não encontrado
Vitamina A (RE),mcg,122,"24,5",159,BRC0667A,Nome não encontrado
Vitamina A (RAE),mcg,"61,7","12,3","80,3",BRC0667A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0667A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,37","0,07","0,48",BRC0667A,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,06",BRC0667A,Nome não encontrado
Riboflavina,mg,"0,04","0,01","0,05",BRC0667A,Nome não encontrado
Niacina,mg,"0,42","0,08","0,55",BRC0667A,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,03",BRC0667A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0667A,Nome não encontrado
Vitamina C,mg,"7,64","1,53","9,93",BRC0667A,Nome não encontrado
Equivalente de folato,mcg,"29,4","5,88","38,2",BRC0667A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0667A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0667A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0667A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0667A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0667A,Nome não encontrado
